,steps,words,feedback,ncands
143,5,"['reais', 'fired', 'fiber', 'finer', 'fixer']","['YYXYX', 'GGYGX', 'GGXGG', 'GGXGG', 'GGGGG']","[53, 4, 3, 2, 2]"
144,3,"['reais', 'court', 'group']","['YXXXX', 'XYYYX', 'GGGGG']","[103, 6, 6]"
145,2,"['reais', 'rogue']","['GYXXX', 'GGGGG']","[11, 11]"
146,4,"['reais', 'tolan', 'amply', 'badly']","['XXYXX', 'XXYYX', 'YXXGG', 'GGGGG']","[150, 10, 2, 2]"
147,4,"['reais', 'trash', 'start', 'smart']","['YXGXY', 'YYGYX', 'GYGGG', 'GGGGG']","[15, 3, 1, 1]"
148,3,"['reais', 'linty', 'pithy']","['XXXYX', 'XGXYG', 'GGGGG']","[118, 1, 1]"
149,3,"['reais', 'tolan', 'gaudy']","['XXYXX', 'XXXYX', 'GGGGG']","[150, 16, 16]"
150,5,"['reais', 'linty', 'child', 'chili', 'chill']","['XXXYX', 'YYXXX', 'GGGGX', 'GGGGY', 'GGGGG']","[118, 12, 2, 1, 1]"
151,3,"['reais', 'nerdy', 'heron']","['YGXXX', 'YGGXX', 'GGGGG']","[34, 1, 1]"
152,4,"['reais', 'tolan', 'cocoa', 'vodka']","['XXYXX', 'XGXYX', 'XGXYG', 'GGGGG']","[150, 5, 2, 2]"
153,4,"['reais', 'fired', 'fiber', 'finer']","['YYXYX', 'GGYGX', 'GGXGG', 'GGGGG']","[53, 4, 3, 3]"
154,4,"['reais', 'prose', 'usher', 'surer']","['YYXXY', 'XYXYY', 'YYXGG', 'GGGGG']","[33, 9, 1, 1]"
155,2,"['reais', 'radio']","['GXYGX', 'GGGGG']","[5, 5]"
156,3,"['reais', 'rogue', 'rouge']","['GYXXX', 'GGYYG', 'GGGGG']","[11, 1, 1]"
157,4,"['reais', 'nerdy', 'berth', 'perch']","['YGXXX', 'XGGXX', 'XGGXG', 'GGGGG']","[34, 6, 1, 1]"
158,3,"['reais', 'recut', 'retch']","['GGXXX', 'GGYXY', 'GGGGG']","[15, 1, 1]"
159,3,"['reais', 'outre', 'wrote']","['YYXXX', 'YXYYG', 'GGGGG']","[108, 4, 4]"
160,4,"['reais', 'uncoy', 'cloth', 'clock']","['XXXXX', 'XXYYX', 'GGGXX', 'GGGGG']","[168, 7, 1, 1]"
161,4,"['reais', 'intel', 'elite', 'tilde']","['XYXYX', 'YXYYY', 'YYYYG', 'GGGGG']","[74, 3, 1, 1]"
162,4,"['reais', 'prose', 'score', 'store']","['YYXXY', 'XYGYG', 'GXGGG', 'GGGGG']","[33, 5, 4, 4]"
163,4,"['reais', 'outre', 'prone', 'prove']","['YYXXX', 'YXXYG', 'GGGXG', 'GGGGG']","[108, 16, 2, 2]"
164,3,"['reais', 'intro', 'bring']","['YXXYX', 'YYXYX', 'GGGGG']","[41, 6, 6]"
165,3,"['reais', 'stole', 'solve']","['XYXXY', 'GXYYG', 'GGGGG']","[67, 1, 1]"
166,4,"['reais', 'leant', 'wheat', 'cheat']","['XYYXX', 'XYYXG', 'XGGGG', 'GGGGG']","[90, 5, 1, 1]"
167,5,"['reais', 'fired', 'tripe', 'crime', 'grime']","['YYXYX', 'XYYYX', 'XGGXG', 'XGGGG', 'GGGGG']","[53, 15, 5, 1, 1]"
168,3,"['reais', 'noule', 'exult']","['XYXXX', 'XXGGY', 'GGGGG']","[121, 1, 1]"
169,3,"['reais', 'prose', 'usher']","['YYXXY', 'XYXYY', 'GGGGG']","[33, 9, 9]"
170,3,"['reais', 'noule', 'epoch']","['XYXXX', 'XYXXY', 'GGGGG']","[121, 3, 3]"
171,4,"['reais', 'vicar', 'trial', 'triad']","['YXYYX', 'XYXGY', 'GGGGX', 'GGGGG']","[12, 2, 1, 1]"
