,steps,words,feedback,ncands
84,3,"['tores', 'stair', 'start']","['YXYXY', 'GGGXY', 'GGGGG']","[12, 2, 2]"
85,3,"['tores', 'hater', 'greet']","['YXYGX', 'XXYGY', 'GGGGG']","[15, 2, 2]"
86,5,"['tores', 'mower', 'cover', 'roger', 'goner']","['XGYGX', 'XGXGG', 'XGXGG', 'YGYGG', 'GGGGG']","[19, 10, 6, 1, 1]"
87,3,"['tores', 'novel', 'golem']","['XGXGX', 'XGXGY', 'GGGGG']","[19, 1, 1]"
88,5,"['tores', 'stain', 'dusty', 'gusty', 'lusty']","['YXXXY', 'YYXXX', 'XGGGG', 'XGGGG', 'GGGGG']","[58, 4, 3, 2, 2]"
89,5,"['tores', 'godly', 'lobby', 'loamy', 'loopy']","['XGXXX', 'XGXYG', 'GGXXG', 'GGXXG', 'GGGGG']","[79, 3, 2, 1, 1]"
90,3,"['tores', 'hoard', 'round']","['XGYXX', 'XGXYG', 'GGGGG']","[19, 1, 1]"
91,3,"['tores', 'hutia', 'audit']","['YXXXX', 'XGYGY', 'GGGGG']","[87, 1, 1]"
92,3,"['tores', 'layin', 'lying']","['XXXXX', 'GXYYY', 'GGGGG']","[246, 1, 1]"
93,3,"['tores', 'layin', 'gamma']","['XXXXX', 'XGXXX', 'GGGGG']","[246, 6, 6]"
94,4,"['tores', 'andro', 'major', 'labor']","['XYYXX', 'YXXYY', 'XGXGG', 'GGGGG']","[74, 8, 5, 5]"
95,2,"['tores', 'islet']","['YXXGY', 'GGGGG']","[11, 11]"
96,3,"['tores', 'layin', 'civic']","['XXXXX', 'XXXGX', 'GGGGG']","[246, 6, 6]"
97,3,"['tores', 'force', 'forge']","['XGGYX', 'GGGXG', 'GGGGG']","[5, 1, 1]"
98,5,"['tores', 'foray', 'worry', 'horny', 'corny']","['XGGXX', 'XGGXG', 'XGGYG', 'XGGGG', 'GGGGG']","[15, 5, 2, 1, 1]"
99,4,"['tores', 'mouth', 'mount', 'moult']","['YGXXX', 'GGGYX', 'GGGXG', 'GGGGG']","[21, 2, 1, 1]"
100,4,"['tores', 'shaly', 'basin', 'basic']","['XXXXY', 'YXYXX', 'GGGGX', 'GGGGG']","[120, 2, 1, 1]"
101,4,"['tores', 'shaly', 'salsa', 'salad']","['XXXXY', 'GXYYX', 'GGGYY', 'GGGGG']","[120, 2, 1, 1]"
102,4,"['tores', 'telia', 'cheat', 'agate']","['YXXYX', 'YYXXY', 'XXYYY', 'GGGGG']","[69, 11, 2, 2]"
103,4,"['tores', 'shaly', 'sunny', 'spicy']","['XXXXY', 'GXXXG', 'GXXXG', 'GGGGG']","[120, 5, 3, 3]"
104,3,"['tores', 'scrap', 'spray']","['XXGXY', 'GXGGY', 'GGGGG']","[12, 1, 1]"
105,3,"['tores', 'aisle', 'essay']","['XXXYY', 'YXGXY', 'GGGGG']","[72, 1, 1]"
106,3,"['tores', 'andro', 'fjord']","['XYYXX', 'XXYGY', 'GGGGG']","[74, 2, 2]"
107,3,"['tores', 'aisle', 'spend']","['XXXYY', 'XXYXY', 'GGGGG']","[72, 3, 3]"
108,4,"['tores', 'liane', 'ahead', 'kebab']","['XXXYX', 'XXYXY', 'YXYGX', 'GGGGG']","[196, 5, 1, 1]"
109,5,"['tores', 'layin', 'child', 'build', 'guild']","['XXXXX', 'YXXYX', 'XXGGG', 'XGGGG', 'GGGGG']","[246, 11, 2, 1, 1]"
110,5,"['tores', 'layin', 'champ', 'quack', 'aback']","['XXXXX', 'XYXXX', 'YXGXX', 'XXGGG', 'GGGGG']","[246, 6, 2, 1, 1]"
111,3,"['tores', 'court', 'motor']","['YGYXX', 'XGXYY', 'GGGGG']","[4, 2, 2]"
112,3,"['tores', 'clone', 'alone']","['XYXYX', 'XGGGG', 'GGGGG']","[45, 1, 1]"
113,3,"['tores', 'hutia', 'hatch']","['YXXXX', 'GXGXY', 'GGGGG']","[87, 1, 1]"
114,6,"['tores', 'aider', 'bluer', 'never', 'cheer', 'hyper']","['XXYGX', 'XXXGG', 'XXXGG', 'XYXGG', 'XYYGG', 'GGGGG']","[94, 19, 8, 3, 1, 1]"
115,3,"['tores', 'ahint', 'thumb']","['GXXXX', 'XGXXY', 'GGGGG']","[28, 2, 2]"
116,3,"['tores', 'hoard', 'dowry']","['XGYXX', 'XGXGY', 'GGGGG']","[19, 1, 1]"
117,3,"['tores', 'ploat', 'ought']","['YYXXX', 'XXYXG', 'GGGGG']","[31, 4, 4]"
118,4,"['tores', 'liane', 'welch', 'belch']","['XXXYX', 'YXXXY', 'XGGGG', 'GGGGG']","[196, 9, 1, 1]"
119,3,"['tores', 'hutia', 'dutch']","['YXXXX', 'YGGXX', 'GGGGG']","[87, 2, 2]"
120,3,"['tores', 'ploat', 'pilot']","['YYXXX', 'GYYXG', 'GGGGG']","[31, 1, 1]"
121,4,"['tores', 'taken', 'thief', 'tweed']","['GXXGX', 'GXXGX', 'GXXGX', 'GGGGG']","[6, 4, 3, 3]"
122,3,"['tores', 'hotel', 'comet']","['YGXGX', 'XGYGX', 'GGGGG']","[4, 2, 2]"
123,5,"['tores', 'hutia', 'adult', 'gaunt', 'jaunt']","['YXXXX', 'XYYXY', 'YXGXG', 'XGGGG', 'GGGGG']","[87, 9, 3, 2, 2]"
124,4,"['tores', 'liane', 'began', 'enema']","['XXXYX', 'XXYYY', 'XYXYY', 'GGGGG']","[196, 5, 1, 1]"
125,4,"['tores', 'islet', 'steep', 'steed']","['YXXGY', 'XYXGY', 'GGGGX', 'GGGGG']","[11, 2, 1, 1]"
126,4,"['tores', 'minus', 'class', 'abyss']","['XXXXG', 'XXXXG', 'XXYGG', 'GGGGG']","[12, 3, 1, 1]"
127,5,"['tores', 'andro', 'croup', 'brook', 'growl']","['XYYXX', 'XXXYY', 'XGGXX', 'XGGYX', 'GGGGG']","[74, 22, 5, 1, 1]"
128,4,"['tores', 'layin', 'blind', 'fling']","['XXXXX', 'YXXYY', 'XGGGX', 'GGGGG']","[246, 5, 3, 3]"
129,4,"['tores', 'novel', 'women', 'dozen']","['XGXGX', 'YGXGX', 'XGXGG', 'GGGGG']","[19, 6, 1, 1]"
130,4,"['tores', 'godly', 'bobby', 'boozy']","['XGXXX', 'XGXXG', 'GGYYG', 'GGGGG']","[79, 8, 1, 1]"
131,3,"['tores', 'credo', 'erode']","['XYYYX', 'XGYGY', 'GGGGG']","[17, 1, 1]"
132,3,"['tores', 'foray', 'world']","['XGGXX', 'XGGXX', 'GGGGG']","[15, 4, 4]"
133,5,"['tores', 'movie', 'noble', 'dodge', 'gouge']","['XGXYX', 'XGXXG', 'XGXXG', 'XGXGG', 'GGGGG']","[10, 7, 3, 1, 1]"
134,6,"['tores', 'layin', 'child', 'cliff', 'climb', 'click']","['XXXXX', 'YXXYX', 'GXGYX', 'GGGXX', 'GGGXX', 'GGGGG']","[246, 11, 3, 2, 1, 1]"
135,4,"['tores', 'dinar', 'friar', 'briar']","['XXYXX', 'XYXGG', 'XGGGG', 'GGGGG']","[97, 2, 1, 1]"
136,3,"['tores', 'cater', 'great']","['YXYYX', 'XYYYY', 'GGGGG']","[23, 6, 6]"
137,3,"['tores', 'afrit', 'altar']","['YXYXX', 'GXYXY', 'GGGGG']","[21, 1, 1]"
138,5,"['tores', 'layin', 'fully', 'bulky', 'pulpy']","['XXXXX', 'YXYXX', 'XGGYG', 'XGGXG', 'GGGGG']","[246, 6, 2, 1, 1]"
139,4,"['tores', 'afrit', 'crypt', 'blurt']","['YXYXX', 'XXYXG', 'XYXXG', 'GGGGG']","[21, 4, 1, 1]"
140,3,"['tores', 'hoist', 'coast']","['YGXXY', 'XGXGG', 'GGGGG']","[12, 4, 4]"
141,4,"['tores', 'layin', 'dumpy', 'duchy']","['XXXXX', 'XXYXX', 'GGXXG', 'GGGGG']","[246, 16, 1, 1]"
142,4,"['tores', 'andro', 'brown', 'groin']","['XYYXX', 'XYXYY', 'XGGXG', 'GGGGG']","[74, 10, 1, 1]"
143,5,"['tores', 'aider', 'finer', 'fiber', 'fixer']","['XXYGX', 'XGXGG', 'GGXGG', 'GGXGG', 'GGGGG']","[94, 13, 3, 2, 2]"
144,4,"['tores', 'andro', 'croup', 'group']","['XYYXX', 'XXXYY', 'XGGGG', 'GGGGG']","[74, 22, 1, 1]"
145,3,"['tores', 'rouge', 'rogue']","['XGYYX', 'GGYYG', 'GGGGG']","[2, 1, 1]"
146,3,"['tores', 'layin', 'badly']","['XXXXX', 'YGYXX', 'GGGGG']","[246, 4, 4]"
147,3,"['tores', 'stair', 'smart']","['YXYXY', 'GYGXY', 'GGGGG']","[12, 1, 1]"
148,4,"['tores', 'hutia', 'pitch', 'pithy']","['YXXXX', 'YXGYX', 'GGGXY', 'GGGGG']","[87, 4, 1, 1]"
149,5,"['tores', 'layin', 'bawdy', 'paddy', 'gaudy']","['XXXXX', 'XGYXX', 'XGXGG', 'XGYGG', 'GGGGG']","[246, 12, 4, 1, 1]"
150,5,"['tores', 'layin', 'child', 'chili', 'chill']","['XXXXX', 'YXXYX', 'GGGGX', 'GGGGY', 'GGGGG']","[246, 11, 2, 1, 1]"
151,3,"['tores', 'error', 'heron']","['XYGYX', 'YYGGY', 'GGGGG']","[2, 1, 1]"
152,3,"['tores', 'godly', 'vodka']","['XGXXX', 'XGGXX', 'GGGGG']","[79, 1, 1]"
153,3,"['tores', 'aider', 'finer']","['XXYGX', 'XGXGG', 'GGGGG']","[94, 13, 13]"
154,5,"['tores', 'screw', 'spree', 'siren', 'surer']","['XXGGY', 'GXGGX', 'GXGGY', 'GXGGX', 'GGGGG']","[6, 3, 2, 1, 1]"
155,3,"['tores', 'andro', 'radio']","['XYYXX', 'YXGYG', 'GGGGG']","[74, 1, 1]"
156,2,"['tores', 'rouge']","['XGYYX', 'GGGGG']","[2, 2]"
157,4,"['tores', 'gayer', 'curve', 'perch']","['XXGYX', 'XXXYY', 'YXGXY', 'GGGGG']","[25, 7, 1, 1]"
158,3,"['tores', 'cater', 'retch']","['YXYYX', 'YXGYY', 'GGGGG']","[23, 1, 1]"
159,2,"['tores', 'wrote']","['YYYYX', 'GGGGG']","[4, 4]"
160,4,"['tores', 'aloin', 'block', 'clock']","['XYXXX', 'XGGXX', 'XGGGG', 'GGGGG']","[66, 8, 2, 2]"
161,4,"['tores', 'teach', 'title', 'tilde']","['GXXYX', 'GYXXX', 'GGYYG', 'GGGGG']","[17, 4, 1, 1]"
162,2,"['tores', 'store']","['YYYYY', 'GGGGG']","[1, 1]"
163,5,"['tores', 'credo', 'broke', 'grove', 'prove']","['XYYYX', 'XGYXY', 'XGGXG', 'XGGGG', 'GGGGG']","[17, 7, 5, 1, 1]"
164,3,"['tores', 'dinar', 'bring']","['XXYXX', 'XYYXY', 'GGGGG']","[97, 4, 4]"
165,3,"['tores', 'louse', 'solve']","['XGXYY', 'YGXYG', 'GGGGG']","[13, 1, 1]"
166,3,"['tores', 'telia', 'cheat']","['YXXYX', 'YYXXY', 'GGGGG']","[69, 11, 11]"
167,5,"['tores', 'acred', 'urine', 'prize', 'grime']","['XXYYX', 'XXYYX', 'XGGXG', 'XGGXG', 'GGGGG']","[93, 22, 5, 2, 2]"
168,4,"['tores', 'telia', 'elect', 'exult']","['YXXYX', 'YYYXX', 'GYYXG', 'GGGGG']","[69, 6, 1, 1]"
169,4,"['tores', 'risen', 'super', 'usher']","['XXYGY', 'YXYGX', 'YYXGG', 'GGGGG']","[13, 6, 1, 1]"
170,3,"['tores', 'clone', 'epoch']","['XYXYX', 'YXGXY', 'GGGGG']","[45, 1, 1]"
171,3,"['tores', 'trail', 'triad']","['GXYXX', 'GGYYX', 'GGGGG']","[19, 1, 1]"
172,4,"['tores', 'acred', 'blaer', 'break']","['XXYYX', 'YXYYX', 'GXYYY', 'GGGGG']","[93, 27, 1, 1]"
173,3,"['tores', 'andro', 'rhino']","['XYYXX', 'XYXYG', 'GGGGG']","[74, 1, 1]"
174,4,"['tores', 'lycra', 'rural', 'viral']","['XXGXX', 'YXXYY', 'YXGGG', 'GGGGG']","[29, 3, 1, 1]"
175,5,"['tores', 'godly', 'mocha', 'ionic', 'conic']","['XGXXX', 'XGXXX', 'XGYXX', 'YGGGG', 'GGGGG']","[79, 13, 2, 1, 1]"
176,3,"['tores', 'aisle', 'masse']","['XXXYY', 'YXGXG', 'GGGGG']","[72, 1, 1]"
177,3,"['tores', 'sound', 'sonic']","['XGXXY', 'GGXYX', 'GGGGG']","[10, 1, 1]"
178,3,"['tores', 'hutia', 'vital']","['YXXXX', 'XXGYY', 'GGGGG']","[87, 1, 1]"
179,2,"['tores', 'trace']","['GXYYX', 'GGGGG']","[13, 13]"
180,4,"['tores', 'shaly', 'music', 'using']","['XXXXY', 'YXXXX', 'XYYYX', 'GGGGG']","[120, 2, 1, 1]"
181,4,"['tores', 'liane', 'beach', 'peach']","['XXXYX', 'XXGXY', 'XGGGG', 'GGGGG']","[196, 5, 1, 1]"
182,3,"['tores', 'layin', 'champ']","['XXXXX', 'XYXXX', 'GGGGG']","[246, 6, 6]"
183,3,"['tores', 'ploat', 'baton']","['YYXXX', 'XXYYY', 'GGGGG']","[31, 1, 1]"
184,5,"['tores', 'acred', 'blaer', 'brave', 'brake']","['XXYYX', 'YXYYX', 'GXGYY', 'GGGXG', 'GGGGG']","[93, 27, 2, 1, 1]"
185,5,"['tores', 'layin', 'bluff', 'clump', 'pluck']","['XXXXX', 'YXXXX', 'XGGXX', 'YGGXY', 'GGGGG']","[246, 9, 4, 1, 1]"
186,5,"['tores', 'acred', 'reach', 'crane', 'craze']","['XXYYX', 'YYYYX', 'YYGYX', 'GGGXG', 'GGGGG']","[93, 10, 3, 2, 2]"
187,5,"['tores', 'acred', 'urine', 'prize', 'gripe']","['XXYYX', 'XXYYX', 'XGGXG', 'YGGXG', 'GGGGG']","[93, 22, 5, 1, 1]"
188,5,"['tores', 'acred', 'blaer', 'frame', 'weary']","['XXYYX', 'YXYYX', 'XXGYY', 'XYGXY', 'GGGGG']","[93, 27, 7, 2, 2]"
189,5,"['tores', 'layin', 'dizzy', 'piggy', 'picky']","['XXXXX', 'XXYYX', 'XGXXG', 'GGXXG', 'GGGGG']","[246, 10, 5, 1, 1]"
190,4,"['tores', 'telia', 'cheat', 'acute']","['YXXYX', 'YYXXY', 'YXYYY', 'GGGGG']","[69, 11, 1, 1]"
191,4,"['tores', 'gayer', 'derby', 'ferry']","['XXGYX', 'XXYYY', 'XGGXG', 'GGGGG']","[25, 8, 5, 5]"
192,3,"['tores', 'aisle', 'aside']","['XXXYY', 'GYYXG', 'GGGGG']","[72, 1, 1]"
193,3,"['tores', 'trail', 'tapir']","['GXYXX', 'GYYGX', 'GGGGG']","[19, 1, 1]"
194,4,"['tores', 'trout', 'troop', 'troll']","['GYYXX', 'GGGXY', 'GGGYX', 'GGGGG']","[6, 2, 1, 1]"
195,4,"['tores', 'layin', 'dying', 'unify']","['XXXXX', 'XXYYY', 'XYGYX', 'GGGGG']","[246, 9, 1, 1]"
196,3,"['tores', 'press', 'rebus']","['XXYYG', 'XYYYG', 'GGGGG']","[4, 1, 1]"
197,4,"['tores', 'hoist', 'coast', 'boost']","['YGXXY', 'XGXGG', 'XGXGG', 'GGGGG']","[12, 4, 2, 2]"
198,2,"['tores', 'truss']","['GXYXG', 'GGGGG']","[1, 1]"
199,4,"['tores', 'aisle', 'since', 'siege']","['XXXYY', 'XGYXG', 'GGXXG', 'GGGGG']","[72, 4, 2, 2]"
200,3,"['tores', 'tried', 'tiger']","['GXYGX', 'GYYGX', 'GGGGG']","[8, 2, 2]"
201,5,"['tores', 'layin', 'naval', 'canal', 'banal']","['XXXXX', 'YGXXY', 'YGXGG', 'XGGGG', 'GGGGG']","[246, 3, 2, 1, 1]"
202,4,"['tores', 'shaly', 'slick', 'slump']","['XXXXY', 'GXXYX', 'GGXXX', 'GGGGG']","[120, 6, 2, 2]"
203,4,"['tores', 'dinar', 'frank', 'crank']","['XXYXX', 'XXYYY', 'XGGGG', 'GGGGG']","[97, 6, 2, 2]"
204,3,"['tores', 'force', 'gorge']","['XGGYX', 'XGGXG', 'GGGGG']","[5, 3, 3]"
