,steps,words,feedback,ncands
81,5,"['reais', 'array', 'harry', 'marry', 'parry']","['YXYXX', 'YYGYG', 'XGGGG', 'XGGGG', 'GGGGG']","[60, 9, 3, 2, 2]"
82,5,"['reais', 'niece', 'title', 'diode', 'biome']","['XYXYX', 'XGYXG', 'XGXXG', 'XGGXG', 'GGGGG']","[74, 10, 4, 1, 1]"
83,3,"['reais', 'eagle', 'lapel']","['XYYXX', 'YGXYY', 'GGGGG']","[90, 8, 8]"
84,3,"['reais', 'shark', 'start']","['YXGXY', 'GXGGX', 'GGGGG']","[15, 6, 6]"
85,5,"['reais', 'freer', 'creed', 'green', 'greet']","['YYXXX', 'XGGGY', 'XGGGX', 'GGGGX', 'GGGGG']","[108, 8, 3, 1, 1]"
86,6,"['reais', 'freer', 'rower', 'cover', 'poker', 'goner']","['YYXXX', 'XYYGG', 'YGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[108, 38, 11, 5, 3, 3]"
87,5,"['reais', 'emcee', 'modem', 'totem', 'golem']","['XYXXX', 'YYXGY', 'YGXGG', 'XGXGG', 'GGGGG']","[121, 10, 2, 1, 1]"
88,3,"['reais', 'slosh', 'lusty']","['XXXXY', 'YYXYX', 'GGGGG']","[89, 1, 1]"
89,4,"['reais', 'booty', 'woody', 'loopy']","['XXXXX', 'XGGXG', 'XGGXG', 'GGGGG']","[168, 7, 2, 2]"
90,4,"['reais', 'rotor', 'roomy', 'round']","['GXXXX', 'GGXYY', 'GGYXX', 'GGGGG']","[10, 5, 2, 2]"
91,3,"['reais', 'mania', 'audit']","['XXYGX', 'XYXGY', 'GGGGG']","[24, 6, 6]"
92,3,"['reais', 'icily', 'lying']","['XXXYX', 'YXGYY', 'GGGGG']","[118, 1, 1]"
93,5,"['reais', 'canal', 'tatty', 'mamma', 'gamma']","['XXYXX', 'XGXYX', 'XGXXX', 'YGGGG', 'GGGGG']","[150, 24, 5, 1, 1]"
94,3,"['reais', 'array', 'labor']","['YXYXX', 'YYYYX', 'GGGGG']","[60, 11, 11]"
95,3,"['reais', 'spine', 'islet']","['XYXYY', 'YXYXY', 'GGGGG']","[28, 1, 1]"
96,2,"['reais', 'civic']","['XXXGX', 'GGGGG']","[40, 40]"
97,3,"['reais', 'freer', 'forge']","['YYXXX', 'GYYYY', 'GGGGG']","[108, 3, 3]"
98,4,"['reais', 'error', 'worry', 'corny']","['YXXXX', 'XYGYY', 'XGGYG', 'GGGGG']","[103, 16, 3, 3]"
99,4,"['reais', 'booty', 'mount', 'moult']","['XXXXX', 'XGYYX', 'GGGXG', 'GGGGG']","[168, 7, 1, 1]"
100,3,"['reais', 'basin', 'basic']","['XXYGY', 'GGGGX', 'GGGGG']","[4, 2, 2]"
101,3,"['reais', 'sassy', 'salad']","['XXYXY', 'GGYYX', 'GGGGG']","[37, 4, 4]"
102,4,"['reais', 'elate', 'abate', 'agate']","['XYGXX', 'YXGGG', 'GXGGG', 'GGGGG']","[26, 3, 1, 1]"
103,4,"['reais', 'sissy', 'spiny', 'spicy']","['XXXYY', 'GYYYG', 'GGGXG', 'GGGGG']","[53, 5, 2, 2]"
104,3,"['reais', 'stray', 'spray']","['YXYXY', 'GXGGG', 'GGGGG']","[15, 1, 1]"
105,3,"['reais', 'masse', 'essay']","['XYYXY', 'XYGYY', 'GGGGG']","[28, 2, 2]"
106,4,"['reais', 'error', 'gourd', 'fjord']","['YXXXX', 'XYYYY', 'XYXGG', 'GGGGG']","[103, 9, 2, 2]"
107,4,"['reais', 'sheet', 'spell', 'spend']","['XYXXY', 'GXGYX', 'GGGXX', 'GGGGG']","[67, 6, 2, 2]"
108,4,"['reais', 'decal', 'began', 'kebab']","['XGYXX', 'XGXGX', 'YGXGX', 'GGGGG']","[19, 4, 1, 1]"
109,5,"['reais', 'icily', 'built', 'quill', 'guild']","['XXXYX', 'YXGGX', 'XGGGX', 'XGGGY', 'GGGGG']","[118, 6, 2, 1, 1]"
110,3,"['reais', 'clank', 'aback']","['XXGXX', 'YXGXG', 'GGGGG']","[33, 3, 3]"
111,3,"['reais', 'error', 'motor']","['YXXXX', 'XYYGG', 'GGGGG']","[103, 8, 8]"
112,3,"['reais', 'eagle', 'alone']","['XYYXX', 'YYXYG', 'GGGGG']","[90, 1, 1]"
113,3,"['reais', 'canal', 'hatch']","['XXYXX', 'YGXYX', 'GGGGG']","[150, 10, 10]"
114,6,"['reais', 'freer', 'rower', 'elder', 'purer', 'hyper']","['YYXXX', 'XYYGG', 'YXXGG', 'YXXGG', 'YXYGG', 'GGGGG']","[108, 38, 15, 7, 1, 1]"
115,3,"['reais', 'booty', 'thumb']","['XXXXX', 'YXXYX', 'GGGGG']","[168, 1, 1]"
116,4,"['reais', 'error', 'gourd', 'dowry']","['YXXXX', 'XYYYY', 'XGXGY', 'GGGGG']","[103, 9, 1, 1]"
117,4,"['reais', 'booty', 'outgo', 'ought']","['XXXXX', 'XYYYX', 'GGYYY', 'GGGGG']","[168, 3, 1, 1]"
118,4,"['reais', 'melee', 'belly', 'belch']","['XGXXX', 'XGGYY', 'GGGYX', 'GGGGG']","[61, 8, 2, 2]"
119,4,"['reais', 'booty', 'hutch', 'dutch']","['XXXXX', 'XXXYX', 'YGGGG', 'GGGGG']","[168, 4, 1, 1]"
120,4,"['reais', 'icily', 'light', 'pilot']","['XXXYX', 'YXYYX', 'YGXXG', 'GGGGG']","[118, 5, 1, 1]"
121,4,"['reais', 'emcee', 'dowel', 'tweed']","['XYXXX', 'YXXGY', 'YXYGX', 'GGGGG']","[121, 29, 1, 1]"
122,3,"['reais', 'emcee', 'comet']","['XYXXX', 'YYYGY', 'GGGGG']","[121, 1, 1]"
123,4,"['reais', 'canal', 'taunt', 'jaunt']","['XXYXX', 'XGYYX', 'YGGGG', 'GGGGG']","[150, 10, 5, 5]"
124,3,"['reais', 'eagle', 'enema']","['XYYXX', 'GYXXY', 'GGGGG']","[90, 1, 1]"
125,3,"['reais', 'sheet', 'steed']","['XYXXY', 'GXGGY', 'GGGGG']","[67, 3, 3]"
126,2,"['reais', 'abyss']","['XXYXG', 'GGGGG']","[1, 1]"
127,4,"['reais', 'error', 'crown', 'growl']","['YXXXX', 'XGYYY', 'XGGGX', 'GGGGG']","[103, 25, 2, 2]"
128,5,"['reais', 'icily', 'blink', 'flint', 'fling']","['XXXYX', 'YXGYX', 'XGGGX', 'GGGGX', 'GGGGG']","[118, 7, 3, 1, 1]"
