,steps,words,feedback,ncands
91,4,"['lores', 'canny', 'await', 'audit']","['XXXXX', 'XYXXX', 'GXYGG', 'GGGGG']","[215, 10, 2, 2]"
92,3,"['lores', 'lunch', 'lying']","['GXXXX', 'GXYXX', 'GGGGG']","[16, 1, 1]"
93,4,"['lores', 'canny', 'mamma', 'gamma']","['XXXXX', 'XGXXX', 'YGGGG', 'GGGGG']","[215, 12, 1, 1]"
94,2,"['lores', 'labor']","['GYYXX', 'GGGGG']","[1, 1]"
95,3,"['lores', 'sleet', 'islet']","['YXXGY', 'YYYGG', 'GGGGG']","[7, 1, 1]"
96,4,"['lores', 'canny', 'chuck', 'civic']","['XXXXX', 'GXXXX', 'GXXYX', 'GGGGG']","[215, 5, 1, 1]"
97,2,"['lores', 'forge']","['XGGYX', 'GGGGG']","[6, 6]"
98,4,"['lores', 'forth', 'worry', 'corny']","['XGGXX', 'XGGXX', 'XGGYG', 'GGGGG']","[17, 5, 1, 1]"
99,4,"['lores', 'folly', 'could', 'moult']","['YGXXX', 'XGYGX', 'XGGGX', 'GGGGG']","[27, 5, 1, 1]"
100,3,"['lores', 'sassy', 'basic']","['XXXXY', 'YGGYX', 'GGGGG']","[122, 3, 3]"
101,4,"['lores', 'shall', 'salsa', 'salad']","['YXXXY', 'GXYYY', 'GGGYY', 'GGGGG']","[58, 4, 2, 2]"
102,4,"['lores', 'eerie', 'gauge', 'agate']","['XXXYX', 'YYXXG', 'YYXYG', 'GGGGG']","[163, 34, 2, 2]"
103,4,"['lores', 'sassy', 'spiny', 'spicy']","['XXXXY', 'GXYYG', 'GGGXG', 'GGGGG']","[122, 7, 2, 2]"
104,3,"['lores', 'strap', 'spray']","['XXGXY', 'GXGGY', 'GGGGG']","[18, 1, 1]"
105,3,"['lores', 'sense', 'essay']","['XXXYY', 'YYXYY', 'GGGGG']","[88, 1, 1]"
106,3,"['lores', 'brood', 'fjord']","['XYYXX', 'XYGYG', 'GGGGG']","[78, 2, 2]"
107,4,"['lores', 'sense', 'spent', 'spend']","['XXXYY', 'GYYYY', 'GGGGX', 'GGGGG']","[88, 5, 1, 1]"
108,5,"['lores', 'eerie', 'teeth', 'began', 'kebab']","['XXXYX', 'YGXXY', 'XGYXX', 'YGXGX', 'GGGGG']","[163, 36, 10, 1, 1]"
109,4,"['lores', 'allay', 'quill', 'guild']","['YXXXX', 'XYYXX', 'XGGGY', 'GGGGG']","[130, 13, 4, 4]"
110,3,"['lores', 'canny', 'aback']","['XXXXX', 'YYXXX', 'GGGGG']","[215, 4, 4]"
111,3,"['lores', 'rotor', 'motor']","['XGYXX', 'YGGGG', 'GGGGG']","[19, 1, 1]"
112,4,"['lores', 'elope', 'glove', 'alone']","['YYXYX', 'YGGXG', 'XGGXG', 'GGGGG']","[16, 6, 3, 3]"
113,4,"['lores', 'canny', 'match', 'hatch']","['XXXXX', 'YGXXX', 'XGGGG', 'GGGGG']","[215, 8, 4, 4]"
114,6,"['lores', 'freer', 'rarer', 'rider', 'enter', 'hyper']","['XXYGX', 'XYYGG', 'YXYGG', 'YXXGG', 'YXXGG', 'GGGGG']","[93, 54, 28, 12, 4, 4]"
115,4,"['lores', 'canny', 'tight', 'thumb']","['XXXXX', 'XXXXX', 'GXXYY', 'GGGGG']","[215, 16, 2, 2]"
116,4,"['lores', 'rotor', 'board', 'dowry']","['XGYXX', 'YGXYY', 'XGXGY', 'GGGGG']","[19, 6, 1, 1]"
117,3,"['lores', 'taboo', 'ought']","['XYXXX', 'YXXYY', 'GGGGG']","[60, 3, 3]"
118,3,"['lores', 'belle', 'belch']","['YXXYX', 'GGGYY', 'GGGGG']","[101, 1, 1]"
119,4,"['lores', 'canny', 'hitch', 'dutch']","['XXXXX', 'YXXXX', 'YXGGG', 'GGGGG']","[215, 12, 2, 2]"
120,4,"['lores', 'aloof', 'igloo', 'pilot']","['YYXXX', 'XYYGX', 'YXGGY', 'GGGGG']","[39, 3, 1, 1]"
121,4,"['lores', 'eaten', 'tweet', 'tweed']","['XXXGX', 'YXYGX', 'GGGGY', 'GGGGG']","[37, 7, 1, 1]"
122,3,"['lores', 'coven', 'comet']","['XGXGX', 'GGXGX', 'GGGGG']","[16, 1, 1]"
123,4,"['lores', 'canny', 'taunt', 'jaunt']","['XXXXX', 'XGYGX', 'YGGGG', 'GGGGG']","[215, 10, 5, 5]"
124,4,"['lores', 'eerie', 'eject', 'enema']","['XXXYX', 'GYXXY', 'GXGXX', 'GGGGG']","[163, 7, 2, 2]"
125,3,"['lores', 'sheet', 'steed']","['XXXGY', 'GXGGY', 'GGGGG']","[20, 2, 2]"
126,3,"['lores', 'amass', 'abyss']","['XXXXG', 'GXYGG', 'GGGGG']","[8, 1, 1]"
127,3,"['lores', 'drool', 'growl']","['YYYXX', 'XGGYG', 'GGGGG']","[11, 4, 4]"
128,5,"['lores', 'allay', 'clink', 'flint', 'fling']","['YXXXX', 'XGYXX', 'XGGGX', 'GGGGX', 'GGGGG']","[130, 26, 4, 1, 1]"
129,4,"['lores', 'coven', 'woken', 'dozen']","['XGXGX', 'XGXGG', 'XGXGG', 'GGGGG']","[16, 4, 1, 1]"
130,4,"['lores', 'tooth', 'goody', 'boozy']","['XGXXX', 'XGGXX', 'XGGXG', 'GGGGG']","[76, 7, 3, 3]"
131,2,"['lores', 'erode']","['XYYYX', 'GGGGG']","[24, 24]"
132,3,"['lores', 'coral', 'world']","['YGGXX', 'XGGXY', 'GGGGG']","[3, 1, 1]"
133,2,"['lores', 'gouge']","['XGXYX', 'GGGGG']","[7, 7]"
134,4,"['lores', 'allay', 'clink', 'click']","['YXXXX', 'XGYXX', 'GGGXG', 'GGGGG']","[130, 26, 1, 1]"
135,3,"['lores', 'trait', 'briar']","['XXYXX', 'XGYYX', 'GGGGG']","[109, 2, 2]"
136,4,"['lores', 'crepe', 'tread', 'great']","['XXYYX', 'XGGXY', 'YGGGX', 'GGGGG']","[111, 11, 1, 1]"
