steps,words,feedback,ncands
4,"['arles', 'stamp', 'stark', 'start']","['YYXXY', 'GGGXX', 'GGGGX', 'GGGGG']","[25, 3, 1, 1]"
3,"['arles', 'dicot', 'greet']","['XGXGX', 'XXXXG', 'GGGGG']","[22, 1, 1]"
3,"['arles', 'tondi', 'goner']","['XYXGX', 'XGGXX', 'GGGGG']","[78, 1, 1]"
3,"['arles', 'filet', 'golem']","['XXGGX', 'XXGGX', 'GGGGG']","[4, 2, 2]"
3,"['arles', 'pluot', 'lusty']","['XXYXY', 'XYYXY', 'GGGGG']","[31, 1, 1]"
4,"['arles', 'count', 'wooly', 'loopy']","['XXYXX', 'XGXXX', 'XGGYG', 'GGGGG']","[91, 5, 1, 1]"
4,"['arles', 'couth', 'gourd', 'round']","['XYXXX', 'XGGXX', 'XGGYG', 'GGGGG']","[74, 3, 1, 1]"
3,"['arles', 'muton', 'audit']","['GXXXX', 'XGYXX', 'GGGGG']","[27, 1, 1]"
4,"['arles', 'count', 'blind', 'lying']","['XXYXX', 'XXXGX', 'XYGGX', 'GGGGG']","[91, 4, 1, 1]"
4,"['arles', 'tonic', 'gaudy', 'gamma']","['YXXXX', 'XXXXX', 'GGXXX', 'GGGGG']","[119, 16, 1, 1]"
4,"['arles', 'moral', 'flora', 'labor']","['YYYXX', 'XYYYY', 'XYYYY', 'GGGGG']","[14, 2, 1, 1]"
2,"['arles', 'islet']","['XXGGY', 'GGGGG']","[1, 1]"
4,"['arles', 'count', 'chick', 'civic']","['XXXXX', 'GXXXX', 'GXYYX', 'GGGGG']","[205, 2, 1, 1]"
4,"['arles', 'donut', 'force', 'forge']","['XYXYX', 'XGXXX', 'GGGXG', 'GGGGG']","[64, 3, 1, 1]"
3,"['arles', 'couth', 'corny']","['XYXXX', 'GGXXX', 'GGGGG']","[74, 1, 1]"
3,"['arles', 'count', 'moult']","['XXYXX', 'XGGXG', 'GGGGG']","[91, 1, 1]"
3,"['arles', 'scant', 'basic']","['YXXXY', 'YYYXX', 'GGGGG']","[62, 1, 1]"
4,"['arles', 'palsy', 'salon', 'salad']","['YXGXY', 'XGGYX', 'GGGXX', 'GGGGG']","[8, 3, 1, 1]"
3,"['arles', 'adobe', 'agate']","['GXXYX', 'GXXXG', 'GGGGG']","[19, 6, 6]"
4,"['arles', 'point', 'skimp', 'spicy']","['XXXXY', 'YXGXX', 'GXGXY', 'GGGGG']","[114, 3, 1, 1]"
3,"['arles', 'stamp', 'spray']","['YYXXY', 'GXYXY', 'GGGGG']","[25, 1, 1]"
3,"['arles', 'stupe', 'essay']","['YXXYY', 'YXXXY', 'GGGGG']","[42, 1, 1]"
4,"['arles', 'couth', 'rigor', 'fjord']","['XYXXX', 'XYXXX', 'YXXYY', 'GGGGG']","[74, 5, 1, 1]"
3,"['arles', 'point', 'spend']","['XXXYY', 'YXXGX', 'GGGGG']","[67, 1, 1]"
4,"['arles', 'chave', 'began', 'kebab']","['YXXYX', 'XXYXY', 'YGXGX', 'GGGGG']","[56, 8, 1, 1]"
4,"['arles', 'count', 'build', 'guild']","['XXYXX', 'XXYXX', 'XGGGG', 'GGGGG']","[91, 5, 1, 1]"
4,"['arles', 'muton', 'affix', 'aback']","['GXXXX', 'XXXXX', 'GXXXX', 'GGGGG']","[27, 3, 1, 1]"
3,"['arles', 'couth', 'motor']","['XYXXX', 'XGXYX', 'GGGGG']","[74, 3, 3]"
3,"['arles', 'angle', 'alone']","['GXYYX', 'GYXYG', 'GGGGG']","[10, 1, 1]"
5,"['arles', 'tonic', 'caput', 'batch', 'hatch']","['YXXXX', 'YXXXY', 'YGXXY', 'XGGGG', 'GGGGG']","[119, 9, 4, 3, 3]"
3,"['arles', 'tondi', 'hyper']","['XYXGX', 'XXXXX', 'GGGGG']","[78, 13, 13]"
3,"['arles', 'count', 'thumb']","['XXXXX', 'XXGXY', 'GGGGG']","[205, 2, 2]"
4,"['arles', 'couth', 'rowdy', 'dowry']","['XYXXX', 'XGXXX', 'YGGYG', 'GGGGG']","[74, 9, 1, 1]"
3,"['arles', 'count', 'ought']","['XXXXX', 'XYYXG', 'GGGGG']","[205, 1, 1]"
3,"['arles', 'belle', 'belch']","['XXGYX', 'GGGYY', 'GGGGG']","[17, 2, 2]"
4,"['arles', 'count', 'butch', 'dutch']","['XXXXX', 'YXYXY', 'XGGGG', 'GGGGG']","[205, 3, 2, 2]"
4,"['arles', 'doily', 'igloo', 'pilot']","['XXGXX', 'XYYYX', 'YXGGY', 'GGGGG']","[30, 2, 1, 1]"
3,"['arles', 'tondi', 'tweed']","['XXXGX', 'GXXYX', 'GGGGG']","[44, 1, 1]"
3,"['arles', 'tondi', 'comet']","['XXXGX', 'YGXXX', 'GGGGG']","[44, 2, 2]"
6,"['arles', 'tonic', 'daunt', 'gaunt', 'haunt', 'jaunt']","['YXXXX', 'YXYXX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[119, 5, 4, 3, 2, 2]"
4,"['arles', 'chave', 'began', 'enema']","['YXXYX', 'XXYXY', 'XYXYY', 'GGGGG']","[56, 8, 1, 1]"
3,"['arles', 'steep', 'steed']","['XXXGY', 'GGGGX', 'GGGGG']","[19, 1, 1]"
3,"['arles', 'amass', 'abyss']","['GXXXG', 'GXYGG', 'GGGGG']","[3, 1, 1]"
3,"['arles', 'drill', 'growl']","['XGYXX', 'XGXYG', 'GGGGG']","[13, 2, 2]"
4,"['arles', 'count', 'blind', 'fling']","['XXYXX', 'XXXGX', 'XGGGX', 'GGGGG']","[91, 4, 1, 1]"
3,"['arles', 'tondi', 'dozen']","['XXXGX', 'XGYYX', 'GGGGG']","[44, 1, 1]"
5,"['arles', 'count', 'goody', 'booby', 'boozy']","['XXXXX', 'XGXXX', 'XGGXG', 'GGGYG', 'GGGGG']","[205, 14, 3, 1, 1]"
4,"['arles', 'pinto', 'drove', 'erode']","['XGXYX', 'XXXXY', 'YGGXG', 'GGGGG']","[45, 6, 1, 1]"
4,"['arles', 'blurt', 'girly', 'world']","['XYYXX', 'XYXYX', 'XXGGX', 'GGGGG']","[16, 3, 1, 1]"
4,"['arles', 'cunit', 'debug', 'gouge']","['XXXYX', 'XYXXX', 'XYXYY', 'GGGGG']","[130, 3, 1, 1]"
4,"['arles', 'count', 'child', 'click']","['XXYXX', 'GXXXX', 'GXGYX', 'GGGGG']","[91, 7, 3, 3]"
3,"['arles', 'diact', 'briar']","['YGXXX', 'XYYXX', 'GGGGG']","[40, 2, 2]"
3,"['arles', 'diact', 'great']","['YGXYX', 'XXYXG', 'GGGGG']","[30, 2, 2]"
3,"['arles', 'alarm', 'altar']","['GYYXX', 'GGYYX', 'GGGGG']","[2, 1, 1]"
4,"['arles', 'doily', 'bulky', 'pulpy']","['XXGXX', 'XXXYG', 'XGGXG', 'GGGGG']","[30, 2, 1, 1]"
2,"['arles', 'blurt']","['XYYXX', 'GGGGG']","[16, 16]"
3,"['arles', 'scant', 'coast']","['YXXXY', 'YYGXG', 'GGGGG']","[62, 1, 1]"
4,"['arles', 'count', 'mucky', 'duchy']","['XXXXX', 'YXYXX', 'XGGXG', 'GGGGG']","[205, 5, 1, 1]"
3,"['arles', 'tigon', 'groin']","['XGXXX', 'XYYYG', 'GGGGG']","[65, 1, 1]"
5,"['arles', 'tondi', 'river', 'fiber', 'fixer']","['XYXGX', 'XXXXY', 'YGXGG', 'GGXGG', 'GGGGG']","[78, 7, 3, 1, 1]"
3,"['arles', 'tigon', 'group']","['XGXXX', 'XXYYX', 'GGGGG']","[65, 1, 1]"
3,"['arles', 'donut', 'rogue']","['XYXYX', 'XGXGX', 'GGGGG']","[64, 1, 1]"
4,"['arles', 'tonic', 'madly', 'badly']","['YXYXX', 'XXXXX', 'XGGGG', 'GGGGG']","[68, 10, 1, 1]"
3,"['arles', 'stamp', 'smart']","['YYXXY', 'GYGYX', 'GGGGG']","[25, 1, 1]"
4,"['arles', 'count', 'ditty', 'pithy']","['XXXXX', 'XXXXY', 'XGGYG', 'GGGGG']","[205, 10, 1, 1]"
3,"['arles', 'tonic', 'gaudy']","['YXXXX', 'XXXXX', 'GGGGG']","[119, 16, 16]"
5,"['arles', 'count', 'child', 'chili', 'chill']","['XXYXX', 'GXXXX', 'GGGGX', 'GGGGY', 'GGGGG']","[91, 7, 2, 1, 1]"
3,"['arles', 'donut', 'heron']","['XYXYX', 'XYYXX', 'GGGGG']","[64, 1, 1]"
4,"['arles', 'tonic', 'dogma', 'vodka']","['YXXXX', 'XGXXX', 'YGXXG', 'GGGGG']","[119, 3, 1, 1]"
3,"['arles', 'tondi', 'finer']","['XYXGX', 'XXGXY', 'GGGGG']","[78, 3, 3]"
4,"['arles', 'sweir', 'super', 'surer']","['XYXGY', 'GXYXG', 'GGXGG', 'GGGGG']","[23, 4, 1, 1]"
3,"['arles', 'coati', 'radio']","['YYXXX', 'XYYXY', 'GGGGG']","[65, 1, 1]"
3,"['arles', 'donut', 'rouge']","['XYXYX', 'XGXYX', 'GGGGG']","[64, 1, 1]"
