word,cares_doily,cares_pouty,cares_poind,cares_gouty,cares_noily,cares_point,cares_doilt,cares_piony,cares_bound,cares_pound,bares_doily,bares_pouty,bares_poind,bares_gouty,bares_noily,bares_point,bares_doilt,bares_piony,bares_could,bares_colin,pares_doily,pares_gouty,pares_noily,pares_doilt,pares_bound,pares_could,pares_colin,pares_count,pares_boult,pares_boink,tares_doily,tares_poind,tares_noily,tares_piony,tares_bound,tares_could,tares_colin,tares_pound,tares_boink,tares_mound,cores_laity,cores_daily,cores_gaily,cores_haily,cores_paint,cores_bialy,cores_daint,cores_baith,cores_faint,cores_gaudy,bores_laity,bores_daily,bores_gaily,bores_haily,bores_canid,bores_calid,bores_paint,bores_daint,bores_cauld,bores_faint,mares_doily,mares_pouty,mares_poind,mares_gouty,mares_noily,mares_point,mares_doilt,mares_piony,mares_bound,mares_could,pores_laity,pores_daily,pores_gaily,pores_haily,pores_canid,pores_calid,pores_bialy,pores_daint,pores_baith,pores_cauld,canes_doily,canes_roily,canes_pouty,canes_gouty,canes_loury,canes_doilt,canes_bourd,canes_boult,canes_poult,canes_roupy,dares_pouty,dares_gouty,dares_noily,dares_point,dares_piony,dares_colin,dares_count,dares_boult,dares_poult,dares_boink
egret,4,5,5,3,5,4,4,5,5,5,5,4,5,3,5,3,3,5,5,5,4,3,5,4,5,6,5,4,3,5,4,4,4,4,3,4,4,4,3,4,4,4,3,5,4,5,4,4,4,3,4,5,3,5,5,5,3,3,5,3,4,5,4,3,5,4,4,5,5,6,4,4,3,5,5,4,5,4,4,6,5,7,6,4,6,4,5,5,4,6,5,3,4,4,4,4,4,3,4,5
lilac,3,4,4,4,4,4,3,4,5,5,3,5,4,5,4,4,3,4,4,3,4,4,4,4,5,4,3,4,4,4,3,5,4,4,4,4,3,5,4,5,3,3,3,3,4,3,4,4,4,5,4,3,4,4,4,3,4,5,4,5,4,4,5,4,4,5,4,4,5,4,4,4,4,4,4,3,3,5,5,4,4,4,4,4,3,3,5,4,4,5,4,5,4,5,4,3,4,4,4,4
sever,5,4,3,4,5,3,3,5,4,5,5,4,3,4,5,3,3,5,5,3,5,4,5,3,5,4,3,4,4,3,5,3,5,5,5,4,3,4,3,5,5,5,5,5,3,5,3,3,3,7,5,5,5,5,3,3,3,3,5,3,5,7,3,4,5,3,3,5,3,3,5,5,5,5,3,3,5,3,3,4,7,6,6,4,6,6,6,6,6,6,4,7,5,3,5,3,5,4,4,3
field,3,5,3,5,4,4,3,4,4,3,3,5,3,5,4,4,3,4,3,4,3,5,4,3,3,3,4,5,5,4,3,3,4,4,3,3,4,3,4,3,4,3,4,4,4,4,3,4,4,4,4,3,4,4,3,3,4,4,3,4,3,5,4,4,4,4,3,4,4,3,5,3,4,4,3,3,4,3,4,3,3,4,4,5,5,3,4,4,4,4,4,3,3,3,4,3,4,3,3,4
fluff,5,5,4,5,5,4,5,4,5,3,4,5,4,4,4,4,5,4,6,4,5,5,5,5,3,4,4,4,5,4,4,4,5,5,4,5,5,3,4,3,5,5,5,5,4,4,4,4,4,5,5,4,4,5,4,5,4,4,6,4,5,5,5,5,5,4,5,5,3,4,5,5,5,4,4,5,5,4,4,4,5,5,4,5,3,5,5,5,4,4,5,6,5,4,5,4,4,4,4,4
hydro,3,3,4,3,3,4,4,3,4,4,3,3,4,3,3,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4,3,3,4,3,3,4,4,3,4,4,3,3,3,3,4,4,3,4,4,4,3,3,4,4,3,4,3,4,4,3,3,3,3,4,3,4,4,4,4,4
flack,4,5,5,5,4,5,4,5,4,5,5,5,4,4,4,4,6,5,4,3,5,4,5,5,4,5,4,5,6,4,5,5,4,5,5,5,4,5,4,4,4,4,4,4,5,3,5,4,3,5,5,5,4,5,4,3,4,5,4,5,5,6,5,6,5,5,5,5,4,5,4,5,5,4,5,4,4,5,6,5,4,4,5,5,5,4,4,4,5,5,4,4,5,5,5,4,5,5,6,4
agape,6,4,4,5,6,4,5,4,4,4,6,4,4,4,4,4,4,4,6,5,4,3,5,5,4,3,4,4,4,3,4,5,6,4,5,5,5,5,4,6,5,6,4,6,4,5,4,5,5,5,4,6,5,6,4,6,4,4,6,4,4,5,4,5,4,5,4,4,4,4,5,4,3,4,4,3,4,5,4,3,6,6,4,5,6,5,4,5,3,3,4,4,4,5,4,6,5,5,5,4
wench,7,7,7,8,8,7,7,8,6,7,7,7,6,7,7,6,6,7,7,7,7,8,8,6,7,8,8,7,6,6,7,6,8,7,6,7,7,7,5,7,8,7,8,7,7,7,6,6,7,8,7,7,8,6,6,6,6,5,7,6,8,7,6,8,8,7,7,8,7,8,7,7,8,7,7,7,7,6,6,8,7,8,7,7,8,6,6,6,7,8,6,7,7,6,7,7,6,7,7,5
voice,3,5,3,6,3,3,3,4,4,4,3,5,4,4,3,4,3,5,4,3,3,5,3,3,4,4,3,5,4,4,3,4,3,5,4,4,3,5,4,4,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,3,3,5,4,4,3,3,3,3,3,3,4,4,4,4,3,3,6,6,4,3,4,4,5,5,5,5,3,4,4,3,4,4,4,4
stead,4,5,3,5,6,6,4,6,3,3,4,5,3,5,6,6,4,6,3,6,4,5,5,4,3,3,5,6,5,6,4,3,5,6,3,3,5,3,6,3,4,4,6,6,6,6,4,5,6,4,4,4,6,6,3,3,6,4,3,6,4,4,3,4,5,5,4,5,3,3,4,4,4,4,3,3,6,4,5,3,4,6,5,5,6,4,3,5,5,6,4,4,4,4,4,4,4,4,4,4
stalk,5,4,5,4,5,3,3,5,5,5,6,4,4,4,5,3,3,4,5,5,5,4,5,3,6,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,3,5,4,4,4,6,4,6,5,5,4,5,3,4,5,4,5,4,4,4,5,3,3,5,4,4,4,5,5,5,5,5,5,3,5,5,5,5,4,4,5,3,5,3,3,5,4,4,6,3,4,5,4,3,3,4
berth,5,3,4,3,4,3,5,4,5,5,4,3,5,3,4,3,3,4,4,5,4,3,4,5,5,6,4,3,3,4,4,3,3,3,3,4,3,3,3,3,3,5,4,3,3,4,4,3,3,5,3,4,4,3,5,5,3,3,4,3,5,3,4,3,4,3,4,4,4,5,3,4,4,3,4,6,4,4,3,6,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,3,5,4
madam,4,5,4,5,4,5,5,5,5,5,4,5,4,5,4,5,5,4,5,4,4,5,4,4,5,5,5,5,5,5,4,4,4,4,5,5,4,5,5,3,4,4,4,4,5,4,4,5,5,4,5,4,4,4,4,5,5,4,5,4,3,5,3,5,4,5,3,5,3,3,4,4,4,4,4,4,4,4,5,5,4,4,5,5,4,5,5,5,5,5,4,4,4,4,4,4,4,5,5,4
night,4,5,5,5,3,4,4,4,4,4,4,5,5,5,3,4,3,4,4,4,4,5,3,3,5,4,4,4,4,5,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,3,4,3,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,4,4,4,3,3,5,5,5,3,4,4,4,4,4,4,5
bland,3,4,5,5,5,5,3,6,3,5,3,4,3,4,4,4,3,4,3,4,3,5,5,3,3,5,5,5,4,4,3,5,5,5,3,5,5,5,4,5,4,3,5,4,5,3,5,3,5,4,4,3,4,4,3,3,4,3,3,4,3,5,5,5,5,5,3,6,3,5,5,3,5,5,5,5,4,5,4,5,4,4,5,5,5,4,3,4,5,5,5,4,4,5,5,4,5,3,5,3
liver,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,3,3,3,4,3,3,4,3,3,4,3,4,3,4,4,4,4,3,3,4,4,4,4,3,5,3,4,3,4,4,4,4,4,3,5,5,4,3,4,4,3,4,3,4,4,4,3,4,3,4,4,3,4,3,3,3,5,3,3,4,4,3,4,4,5,4,3,4,4,4,5,4,4,4,3,4,4,3,4,3,3,4
wedge,5,5,4,5,4,6,4,4,5,4,4,6,4,5,5,6,4,4,4,4,5,5,4,4,5,5,4,6,4,4,5,4,5,6,4,4,4,4,6,5,4,5,4,5,6,5,4,4,5,5,6,4,4,4,4,4,6,4,4,6,4,5,4,5,5,5,4,4,5,5,4,5,4,5,4,4,5,4,4,5,4,4,4,5,4,5,5,4,5,4,5,5,5,4,5,4,3,4,4,4
augur,4,4,4,3,4,4,4,4,5,4,5,5,5,3,4,5,5,5,4,5,5,3,5,5,5,5,5,4,4,5,4,5,4,5,5,4,5,4,5,5,4,4,4,4,4,4,4,5,4,3,4,5,4,4,4,5,5,5,4,5,5,4,5,3,4,5,4,4,5,5,4,5,4,5,4,5,4,5,5,5,4,5,4,4,4,4,4,4,5,5,4,3,4,5,5,5,4,4,4,5
roomy,7,5,6,6,7,6,4,7,7,6,7,5,6,6,7,6,6,7,7,7,6,5,6,4,6,6,6,6,5,6,6,4,6,6,6,6,4,5,6,3,6,7,7,7,6,7,6,6,6,7,6,7,7,7,7,7,6,6,7,6,3,3,3,3,3,3,3,3,3,3,5,6,6,6,6,6,6,4,6,6,7,7,7,7,7,7,7,7,7,6,5,6,7,4,7,7,7,6,5,6
wacky,5,5,5,5,4,5,5,5,5,5,5,6,6,7,7,6,6,6,5,5,6,6,6,5,5,6,5,5,6,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,6,5,5,6,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,5,5,6,6,6,5,4,5,5,4,5,5,5,5,5,5,5,6,6,5,5,5,6,6,5
flock,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,3,5,5,5,5,4,4,4,4,5,4,6,5,5,5,4,4,4,5,4,5,4,4,4,4,4,3,4,4,3,4,5,5,4,4,4,3,4,4,4,4,6,5,5,5,5,5,6,5,4,4,5,5,5,5,4,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5,4,4,4,5,4
angry,3,4,4,3,3,4,4,3,4,4,4,4,4,3,3,4,5,3,5,4,3,3,3,5,4,4,4,4,5,4,4,4,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,4,4,3,4,4,5,4,4,5,4,4,4,4,3,3,4,5,3,4,5,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,4,4,5,5,3,4,3,3,4,3,4,4,5,4,4
bobby,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,5,4,4,4,4,5,4,4,4,5,5,4,4,4,4,4
trite,7,5,5,5,7,3,3,7,6,6,7,5,4,5,4,3,3,5,7,3,7,5,7,3,6,7,3,7,8,4,8,6,8,7,7,8,7,7,6,7,5,7,8,8,3,4,3,5,3,8,5,7,8,8,3,6,3,3,7,3,8,5,6,5,8,3,3,8,7,7,5,7,8,8,3,6,8,3,5,7,3,7,5,5,8,3,5,5,5,5,5,5,7,3,4,3,7,8,8,4
aphid,4,5,3,5,5,4,4,3,4,4,4,5,3,4,5,4,4,3,4,4,3,4,3,3,4,4,3,4,4,3,4,3,4,3,4,4,3,4,4,4,5,4,6,5,4,4,4,5,4,4,4,4,4,5,4,3,4,4,4,4,4,5,3,4,5,3,4,3,4,4,3,3,4,3,3,3,4,3,3,4,4,5,4,5,5,4,4,5,4,4,3,4,4,3,3,4,4,4,4,3
tryst,3,3,4,3,3,4,4,3,4,4,3,3,4,3,3,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4,3,3,4,3,3,4,4,3,4,4,3,3,3,3,4,4,3,4,4,4,4,4,3,3,3,4,4,5,5,3,3,3,3,4,3,4,4,4,4,4
midge,4,5,4,5,4,4,3,5,4,4,4,4,4,4,5,4,3,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,6,5,5,4,4,5,4,5,4,4,4,4,4,3,4,4,4,4
power,4,3,3,4,4,3,4,3,4,3,4,3,3,4,4,3,4,3,6,5,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,6,3,4,6,4,4,3,3,4,4,3,4,3,4,6,3,3,3,3,3,3,3,3,3,3,4,5,4,5,4,5,4,5,4,4,3,4,4,3,3,5,4,4,3,4
elope,6,4,3,5,4,4,4,4,3,4,5,4,4,5,5,4,6,4,4,4,3,4,3,3,4,3,3,4,3,4,5,3,5,4,3,4,4,3,3,4,4,6,6,4,4,5,3,4,3,5,5,5,4,5,3,4,4,4,4,3,5,4,4,3,5,4,6,4,4,4,3,3,3,3,3,3,3,3,4,3,4,4,4,6,6,4,3,4,3,4,4,3,5,3,4,4,4,5,3,3
cinch,4,4,4,4,4,4,6,4,4,4,7,3,5,3,8,8,7,7,4,4,7,3,7,6,4,4,4,4,7,5,8,8,8,7,9,4,4,8,9,8,5,4,4,3,4,4,4,3,4,4,8,7,4,7,4,4,8,9,4,8,8,3,5,3,8,8,7,7,5,4,7,7,6,6,4,4,6,8,7,4,4,4,3,3,4,4,4,4,4,4,3,3,8,8,7,4,4,7,7,5
motto,4,4,5,3,4,4,4,4,4,4,5,3,5,3,5,4,4,4,5,4,5,4,5,4,5,5,5,4,4,5,5,4,4,3,4,4,4,4,4,3,4,4,5,5,4,4,4,4,4,5,4,5,5,5,4,5,4,4,5,4,4,3,4,3,4,3,4,4,4,4,4,5,5,5,5,5,5,4,4,5,4,4,4,4,3,4,4,4,4,4,4,3,5,4,4,5,4,4,4,5
stomp,5,4,4,4,4,3,5,4,4,4,5,4,4,5,4,3,4,4,5,4,4,4,4,3,4,4,4,3,3,4,5,4,5,4,5,6,5,4,5,4,5,5,5,4,3,5,4,6,4,5,6,5,5,4,4,5,3,4,5,4,4,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4
upset,4,3,4,3,4,3,4,4,4,3,4,3,4,3,4,3,4,4,4,4,4,3,4,3,3,3,4,3,3,4,4,4,4,4,3,3,4,3,4,3,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,4,5,4,3,3,3,3,3,4,3,4,4,3,3,3,4
bluff,4,4,4,5,4,4,5,3,3,4,4,3,4,3,3,4,4,4,4,3,4,5,4,4,3,4,4,4,3,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,5,4,4,4,4,5,3,4,4
cramp,5,3,3,5,5,3,5,3,9,3,5,4,4,5,5,4,5,4,8,6,4,3,4,4,5,3,3,3,4,4,5,4,5,4,7,7,5,4,5,4,4,5,5,5,3,5,6,6,6,6,4,5,5,5,7,6,4,6,8,6,5,3,4,4,5,3,4,4,3,5,4,4,4,4,3,3,4,4,3,3,5,5,5,4,6,6,8,7,3,3,4,5,4,4,4,6,8,6,4,6
quart,5,4,4,4,4,4,4,5,3,4,6,4,4,3,4,4,5,4,3,5,5,4,4,4,3,3,4,3,3,5,5,4,5,4,3,4,4,3,5,3,5,5,5,4,4,4,4,5,4,4,6,6,6,5,4,5,4,5,3,5,6,4,4,4,5,4,5,4,3,3,5,5,4,4,4,5,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,5,4,4,5,3,3,3,6
coyly,5,6,6,6,5,6,5,5,6,6,5,7,5,7,5,5,5,6,5,4,5,7,5,5,5,5,4,6,5,7,5,5,5,5,5,5,4,5,5,5,5,5,5,5,6,5,6,5,6,6,5,5,5,5,6,4,5,5,5,5,5,7,6,7,5,6,5,6,5,5,5,5,5,5,6,4,5,5,5,5,5,5,6,6,5,5,6,5,5,6,5,5,5,5,4,4,6,5,5,5
youth,4,3,4,3,4,4,4,4,4,4,5,3,4,3,4,4,4,4,3,4,4,3,4,4,4,3,4,3,3,4,3,4,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,3,5,4,3,4,4,4,4,3,4,5,3,4,3,4,4,4,4,5,3,3,4,4,3,4,4,4,4,4,3,3,4,3,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,3,4
rhyme,4,3,4,3,4,4,4,4,5,5,4,3,4,3,4,4,4,4,4,5,4,3,4,4,5,4,5,4,4,4,3,5,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,3,4,4,3,3,4,5,4,4,4,4,3,3,4,3,3,4,4,3,4,4,3,4,3,3,4,5,4,5,4,4,4,3,4,4,4,4,5,4,5,3,3,3,4,5,4,4,4,4,4,5
buggy,6,4,5,3,6,5,5,4,5,5,6,4,5,3,6,6,4,4,6,6,5,3,6,4,5,5,6,5,5,5,4,5,6,6,6,4,6,5,5,4,4,6,4,7,5,7,5,5,5,3,6,6,3,7,5,6,6,6,6,6,5,6,5,3,6,6,5,6,5,5,5,5,3,5,5,5,6,5,5,5,5,6,6,4,6,5,5,6,5,4,5,3,5,5,5,5,4,4,4,5
alien,3,4,3,4,3,3,3,3,4,4,3,4,3,4,3,3,3,3,4,3,3,4,3,3,4,4,3,4,4,3,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,5,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,3,3,5,4,4,3,3,4,4,4,4,4,3,3,3,3,4,4,4,3
smear,7,6,6,6,6,6,6,6,7,6,7,6,6,6,6,6,6,6,7,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,7,3,6,7,7,6,6,6,6,5,6,7,6,7,7,6,6,7,6,6,7,6,3,3,3,3,3,3,3,3,3,3,5,6,6,5,6,6,5,6,5,6,7,7,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,7
unfit,5,4,4,4,3,4,4,3,4,4,5,4,4,4,4,4,5,3,4,3,5,4,5,5,4,4,3,3,4,4,5,4,4,4,3,4,4,3,4,3,5,5,5,5,4,3,4,5,3,4,5,5,4,4,4,3,4,4,4,3,5,4,4,5,4,4,5,3,4,4,5,5,5,5,4,4,4,4,5,4,4,3,3,3,3,4,4,3,4,4,4,5,4,4,3,3,3,4,4,4
patty,6,3,4,5,6,3,6,5,4,4,5,3,4,5,5,3,5,5,5,5,3,3,4,3,4,5,4,3,3,5,5,3,5,3,4,5,5,3,4,5,5,6,6,6,3,5,5,5,4,6,5,5,5,6,4,5,3,5,5,4,6,3,4,5,6,3,5,5,4,6,3,3,4,4,4,4,4,3,3,5,6,6,4,3,4,5,4,5,4,5,3,5,6,3,4,6,5,5,3,4
cling,4,6,3,4,4,4,4,3,3,3,4,4,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,5,5,4,3,4,3,5,4,3,3,4,3,4,4,3,4,4,4,4,3,4,4,4,4,3,4,3,4,4,3,4,3,4,4,3,3,4,3,4,3,3,4,4,4,3,4,3,4,4,3,3,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,4,4,4,5,3
glean,5,5,5,3,5,5,4,5,4,4,4,5,5,4,5,5,4,5,5,4,4,4,3,4,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,3,4,5,4,5,5,5,3,5,4,4,5,5,6,5,5,5,5,5,6,5,5,5,5,4,5,5,5,4,4,4,4,5,5,4,5,4,5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,4,4,5,5,5
label,3,5,5,4,4,6,4,4,3,5,3,3,3,3,3,3,3,3,3,3,5,4,4,5,3,4,4,6,3,3,4,5,4,4,3,4,4,5,3,4,4,3,4,4,6,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,6,4,4,4,4,4,4,3,3,4,5,5,5,5,3,4,5,3,4,4,4,5,4,4,4,3,3,5,4,4,4,3,5,5,3,4,3,5,3
hunky,7,5,6,5,7,6,5,6,5,6,6,4,3,4,6,5,3,5,6,7,6,4,6,5,6,6,6,6,4,4,6,3,6,6,5,6,7,5,5,5,6,7,6,3,6,6,6,4,6,6,6,6,5,3,6,6,5,5,6,5,7,4,6,6,7,6,7,6,7,7,6,6,5,3,6,6,4,3,4,6,6,7,6,5,7,6,5,6,6,6,4,6,6,3,5,6,5,6,5,5
khaki,4,5,5,5,4,5,5,5,5,6,4,5,4,5,4,4,4,5,5,5,4,5,4,5,4,5,5,5,5,3,5,5,4,5,5,5,4,4,3,5,4,4,4,4,5,4,5,4,4,5,4,4,5,4,5,5,4,4,5,4,4,5,5,5,4,5,5,5,5,5,4,4,4,5,5,6,4,5,4,5,5,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,3
poker,6,4,4,6,5,4,5,4,5,4,6,4,4,6,5,4,6,4,4,4,4,4,4,4,4,4,4,4,4,3,6,4,6,4,5,5,5,4,4,5,6,6,6,6,4,6,5,5,5,6,7,6,5,7,5,4,4,5,4,5,6,4,4,6,5,4,6,4,5,4,4,4,4,4,4,4,4,4,4,4,5,6,4,6,5,4,5,4,4,5,4,6,6,4,4,4,5,6,4,3
gruel,5,4,5,4,4,5,5,5,4,4,5,3,5,4,5,5,5,5,4,4,5,4,5,5,4,4,5,4,3,5,5,5,5,6,3,4,5,4,5,4,4,5,4,4,5,4,5,5,5,4,5,5,4,5,5,4,5,5,4,5,5,3,5,4,5,6,5,5,4,4,4,5,4,5,5,5,5,5,5,4,5,4,4,4,4,5,4,4,4,4,4,4,5,5,5,5,4,3,4,5
twice,3,5,3,5,3,3,3,5,5,5,4,5,4,4,4,4,4,4,4,3,4,5,4,4,4,4,3,4,4,4,4,3,3,4,5,4,3,5,3,5,4,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,4,3,5,4,4,5,5,5,4,4,5,3,4,5,5,4
twang,5,5,4,4,5,4,4,4,5,5,4,5,5,4,5,4,4,5,5,5,5,4,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,5,4,4,4,4,5,5,4,4,5,4,4,5,4,4,5,4,4,4,5,5,4,5,4,4,5,5,4,4,4,5,6,5,5,4,5,4,5,5,5,5,5,4,5,4,4,5,4,4,4,4
shrug,4,4,5,4,5,5,4,4,6,5,5,4,5,4,4,5,5,4,5,4,5,3,5,4,4,4,4,5,5,4,4,5,4,4,5,4,4,5,5,5,3,4,4,4,5,4,4,3,5,4,4,5,4,4,6,6,5,5,5,5,5,4,4,4,5,5,4,4,5,4,4,5,3,4,5,4,4,5,3,4,5,5,5,4,4,5,6,5,5,4,4,4,5,5,5,4,4,5,4,6
treat,6,3,6,5,7,5,5,7,6,6,6,3,4,5,6,5,5,6,6,6,4,5,5,4,4,6,7,5,4,6,5,4,5,4,5,4,5,4,5,4,3,6,6,7,5,6,5,3,5,6,3,6,6,7,6,6,5,5,6,5,7,3,7,5,7,5,5,5,6,6,3,4,6,7,6,6,7,5,3,6,6,7,3,3,7,4,5,4,4,7,5,5,4,5,4,6,5,5,4,5
unlit,5,6,5,3,5,5,5,5,6,6,5,6,5,6,5,6,5,5,5,4,4,6,5,4,6,5,4,5,4,5,5,6,4,5,5,4,3,5,6,5,4,5,4,4,5,4,6,6,5,5,4,5,4,5,6,5,6,6,5,5,5,6,5,4,5,6,5,5,6,4,4,4,5,5,6,4,4,6,4,5,5,4,5,5,4,3,6,3,3,6,6,4,5,6,5,3,5,4,4,5
waste,4,3,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4
merit,4,4,4,4,5,3,3,3,5,4,5,4,4,4,6,3,3,4,5,5,5,4,6,3,4,5,5,3,3,4,3,3,3,3,4,4,3,4,3,3,3,4,4,5,3,4,3,3,3,5,3,5,5,6,5,4,3,3,5,3,3,3,3,3,3,3,3,3,4,3,3,5,5,6,4,4,5,3,3,5,4,4,4,5,4,4,5,4,4,4,4,4,5,3,4,4,3,3,3,5
woven,5,5,3,5,3,3,5,3,3,3,4,5,3,5,4,4,5,4,5,3,4,5,4,5,3,5,3,3,5,4,3,3,4,4,4,5,3,3,4,4,5,5,5,5,3,5,3,5,3,4,5,4,5,5,3,5,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,3,5,5,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,5,4
octal,3,5,4,5,3,4,3,4,5,4,4,4,5,4,4,5,4,5,3,4,4,4,4,4,5,3,4,4,4,5,4,4,4,5,4,3,3,4,4,4,3,3,3,3,4,3,3,5,4,4,4,4,5,4,5,3,5,5,3,4,4,4,4,4,4,5,4,5,5,3,4,4,5,4,4,3,4,5,4,3,3,3,4,4,4,3,5,3,3,4,4,4,4,5,5,3,3,4,4,5
needy,4,4,4,4,3,5,5,3,4,4,4,5,4,4,3,5,5,3,5,4,4,4,3,5,4,4,4,4,4,5,4,4,3,3,4,5,4,4,5,4,4,4,4,4,5,4,4,4,4,3,4,4,4,4,4,5,5,4,5,5,4,4,4,4,3,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,3,3,4,4,3,4,4,5,4,3,4,3,3,4,3,4,4,4,4,4
clown,6,4,4,5,3,3,5,3,4,4,5,5,5,4,4,5,5,5,6,3,5,5,4,5,5,5,3,3,5,4,4,5,4,5,5,5,3,5,5,5,6,6,6,6,3,6,3,6,3,5,4,5,6,6,3,6,5,4,6,4,4,4,5,4,4,5,5,5,5,6,4,5,6,6,3,5,5,5,5,5,3,3,4,4,3,3,4,3,3,3,4,5,4,5,5,3,3,5,5,5
widow,3,5,4,5,5,5,4,6,4,4,3,5,4,4,4,4,4,4,4,4,3,5,4,3,4,4,6,4,4,5,3,4,5,5,4,3,5,4,4,4,5,3,5,4,5,6,4,4,5,5,5,3,5,4,4,4,4,4,4,4,3,4,4,4,5,4,3,5,4,4,5,3,5,4,4,4,5,4,4,4,4,5,5,4,5,4,4,5,4,4,5,5,3,4,3,4,4,5,3,4
irony,4,4,3,4,3,3,4,3,5,5,4,4,3,4,3,3,4,3,4,4,4,4,3,4,6,5,4,3,4,3,4,3,3,3,5,5,4,4,3,5,4,4,4,4,3,4,3,4,3,5,4,4,4,4,4,4,3,3,4,3,4,4,3,4,3,3,4,3,6,5,4,4,4,4,4,4,4,3,4,5,3,3,3,3,3,4,4,5,4,3,4,4,3,3,3,4,4,5,5,3
