steps,words,feedback,ncands
7,"['soare', 'rewth', 'cover', 'joker', 'boxer', 'foyer', 'goner']","['XGXYY', 'YYXXX', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[22, 9, 5, 3, 2, 1, 1]"
3,"['soare', 'meynt', 'golem']","['XGXXY', 'YYXXX', 'GGGGG']","[26, 1, 1]"
5,"['soare', 'mythi', 'dusty', 'gusty', 'lusty']","['YXXXX', 'XYYXX', 'XGGGG', 'XGGGG', 'GGGGG']","[33, 3, 2, 1, 1]"
4,"['soare', 'culty', 'wooly', 'loopy']","['XGXXX', 'XXYXG', 'XGGYG', 'GGGGG']","[87, 6, 1, 1]"
3,"['soare', 'cyton', 'round']","['XGXYX', 'XXXYY', 'GGGGG']","[26, 1, 1]"
4,"['soare', 'clint', 'admit', 'audit']","['XXYXX', 'XXYXG', 'GYXGG', 'GGGGG']","[138, 3, 1, 1]"
3,"['soare', 'clint', 'lying']","['XXXXX', 'XYGGX', 'GGGGG']","[183, 1, 1]"
4,"['soare', 'clint', 'gaudy', 'gamma']","['XXYXX', 'XXXXX', 'GGXXX', 'GGGGG']","[138, 15, 1, 1]"
4,"['soare', 'maron', 'valor', 'labor']","['XYYYX', 'XGYGX', 'XGYGG', 'GGGGG']","[27, 5, 1, 1]"
4,"['soare', 'guest', 'beset', 'islet']","['YXXXY', 'XXYYG', 'XYYGG', 'GGGGG']","[19, 2, 1, 1]"
3,"['soare', 'clint', 'civic']","['XXXXX', 'GXYXX', 'GGGGG']","[183, 2, 2]"
2,"['soare', 'forge']","['XGXYG', 'GGGGG']","[9, 9]"
3,"['soare', 'cyton', 'corny']","['XGXYX', 'GYXYY', 'GGGGG']","[26, 1, 1]"
3,"['soare', 'culty', 'moult']","['XGXXX', 'XYYYX', 'GGGGG']","[87, 1, 1]"
4,"['soare', 'linty', 'amiss', 'basic']","['YXYXX', 'XYXXX', 'YXYYY', 'GGGGG']","[23, 3, 1, 1]"
3,"['soare', 'sadly', 'salad']","['GXYXX', 'GGYYX', 'GGGGG']","[19, 1, 1]"
3,"['soare', 'glitz', 'agate']","['XXGXG', 'YXXGX', 'GGGGG']","[28, 1, 1]"
4,"['soare', 'thilk', 'suing', 'spicy']","['GXXXX', 'XXGXX', 'GXGXX', 'GGGGG']","[63, 5, 1, 1]"
3,"['soare', 'scrap', 'spray']","['GXYYX', 'GXGGY', 'GGGGG']","[8, 1, 1]"
3,"['soare', 'ashen', 'essay']","['YXYXY', 'YGXYX', 'GGGGG']","[5, 1, 1]"
3,"['soare', 'chord', 'fjord']","['XYXGX', 'XXGGG', 'GGGGG']","[8, 1, 1]"
4,"['soare', 'clipt', 'sheep', 'spend']","['GXXXY', 'XXXYX', 'GXGYY', 'GGGGG']","[35, 4, 1, 1]"
4,"['soare', 'tepal', 'began', 'kebab']","['XXYXY', 'XGXGX', 'YGXGX', 'GGGGG']","[68, 4, 1, 1]"
4,"['soare', 'clint', 'build', 'guild']","['XXXXX', 'XYGXX', 'XGGGG', 'GGGGG']","[183, 3, 1, 1]"
3,"['soare', 'clink', 'aback']","['XXGXX', 'YXXXG', 'GGGGG']","[40, 3, 3]"
3,"['soare', 'cyton', 'motor']","['XGXYX', 'XXGGX', 'GGGGG']","[26, 2, 2]"
3,"['soare', 'anode', 'alone']","['XYYXG', 'GYGXG', 'GGGGG']","[8, 2, 2]"
4,"['soare', 'clint', 'batch', 'hatch']","['XXYXX', 'YXXXY', 'XGGGG', 'GGGGG']","[138, 6, 4, 4]"
4,"['soare', 'tined', 'flump', 'hyper']","['XXXYY', 'XXXGX', 'XXXXY', 'GGGGG']","[117, 25, 1, 1]"
4,"['soare', 'clint', 'putty', 'thumb']","['XXXXX', 'XXXXY', 'XYYYX', 'GGGGG']","[183, 3, 1, 1]"
2,"['soare', 'dowry']","['XGXGX', 'GGGGG']","[6, 6]"
3,"['soare', 'clint', 'ought']","['XYXXX', 'XXXXG', 'GGGGG']","[56, 1, 1]"
3,"['soare', 'teind', 'belch']","['XXXXY', 'XGXXX', 'GGGGG']","[120, 13, 13]"
4,"['soare', 'clint', 'butch', 'dutch']","['XXXXX', 'YXXXY', 'XGGGG', 'GGGGG']","[183, 3, 2, 2]"
3,"['soare', 'clint', 'pilot']","['XYXXX', 'XYYXG', 'GGGGG']","[56, 1, 1]"
3,"['soare', 'teind', 'tweed']","['XXXXY', 'GYXXG', 'GGGGG']","[120, 1, 1]"
3,"['soare', 'meynt', 'comet']","['XGXXY', 'YYXXG', 'GGGGG']","[26, 1, 1]"
6,"['soare', 'clint', 'daunt', 'gaunt', 'haunt', 'jaunt']","['XXYXX', 'XXXGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[138, 6, 5, 4, 3, 3]"
4,"['soare', 'tepal', 'annex', 'enema']","['XXYXY', 'XYXYX', 'YGYYX', 'GGGGG']","[68, 8, 1, 1]"
3,"['soare', 'clipt', 'steed']","['GXXXY', 'XXXXY', 'GGGGG']","[35, 1, 1]"
3,"['soare', 'linty', 'abyss']","['YXYXX', 'XXXXY', 'GGGGG']","[23, 1, 1]"
4,"['soare', 'cutin', 'droop', 'growl']","['XYXYX', 'XXXXX', 'XGGYX', 'GGGGG']","[59, 12, 1, 1]"
4,"['soare', 'clint', 'blind', 'fling']","['XXXXX', 'XGGGX', 'XGGGX', 'GGGGG']","[183, 3, 1, 1]"
4,"['soare', 'meynt', 'woven', 'dozen']","['XGXXY', 'XYXYX', 'XGXGG', 'GGGGG']","[26, 5, 1, 1]"
5,"['soare', 'culty', 'goody', 'booby', 'boozy']","['XGXXX', 'XXXXG', 'XGGXG', 'GGGYG', 'GGGGG']","[87, 15, 3, 1, 1]"
4,"['soare', 'prove', 'drone', 'erode']","['XYXYG', 'XGGXG', 'YGGXG', 'GGGGG']","[14, 6, 1, 1]"
4,"['soare', 'cyton', 'forum', 'world']","['XGXYX', 'XXXYX', 'XGGXX', 'GGGGG']","[26, 5, 1, 1]"
3,"['soare', 'vogue', 'gouge']","['XGXXG', 'XGYYG', 'GGGGG']","[10, 1, 1]"
3,"['soare', 'clint', 'click']","['XXXXX', 'GGGXX', 'GGGGG']","[183, 3, 3]"
3,"['soare', 'riyal', 'briar']","['XXYYX', 'YYXGX', 'GGGGG']","[42, 3, 3]"
4,"['soare', 'talcy', 'after', 'great']","['XXYYY', 'YYXXX', 'YXYYY', 'GGGGG']","[61, 2, 1, 1]"
3,"['soare', 'riyal', 'altar']","['XXYYX', 'YXXGY', 'GGGGG']","[42, 2, 2]"
4,"['soare', 'clint', 'bully', 'pulpy']","['XXXXX', 'XYXXX', 'XGGYG', 'GGGGG']","[183, 8, 1, 1]"
4,"['soare', 'churn', 'blurb', 'blurt']","['XXXGX', 'XXGGX', 'GGGGY', 'GGGGG']","[13, 2, 1, 1]"
3,"['soare', 'boast', 'coast']","['YGGXX', 'XGGGG', 'GGGGG']","[3, 2, 2]"
3,"['soare', 'clint', 'duchy']","['XXXXX', 'YXXXX', 'GGGGG']","[183, 2, 2]"
