steps,words,feedback,ncands
3,"['arles', 'netop', 'bleed']","['XXYGX', 'XYXXX', 'GGGGG']","[30, 5, 5]"
3,"['arles', 'delay', 'delta']","['YXGYX', 'GGGYX', 'GGGGG']","[7, 1, 1]"
4,"['arles', 'tonic', 'child', 'flick']","['XXYXX', 'XXXYY', 'YXGYX', 'GGGGG']","[91, 8, 1, 1]"
3,"['arles', 'tondi', 'totem']","['XXXGX', 'GGXXX', 'GGGGG']","[44, 1, 1]"
8,"['arles', 'topic', 'mover', 'roger', 'boxer', 'foyer', 'joker', 'wooer']","['XYXGX', 'XGXXX', 'XGXGG', 'YGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[78, 13, 7, 4, 3, 2, 1, 1]"
3,"['arles', 'puton', 'front']","['XGXXX', 'XXYYY', 'GGGGG']","[65, 1, 1]"
3,"['arles', 'souct', 'shrub']","['XYXXY', 'GXYXX', 'GGGGG']","[35, 3, 3]"
4,"['arles', 'doric', 'harpy', 'parry']","['YYXXX', 'XXGXX', 'XGGYG', 'GGGGG']","[65, 8, 2, 2]"
4,"['arles', 'unite', 'movie', 'biome']","['XXXYX', 'XXYXG', 'YYXYG', 'GGGGG']","[130, 6, 1, 1]"
4,"['arles', 'laden', 'label', 'lapel']","['YXYGX', 'GGXGX', 'GGXGG', 'GGGGG']","[9, 2, 1, 1]"
4,"['arles', 'coapt', 'smart', 'start']","['YYXXY', 'XXGXG', 'GXGGG', 'GGGGG']","[25, 2, 1, 1]"
4,"['arles', 'dicer', 'green', 'greet']","['XGXGX', 'XXXGY', 'GGGGX', 'GGGGG']","[22, 3, 1, 1]"
5,"['arles', 'topic', 'mover', 'roger', 'goner']","['XYXGX', 'XGXXX', 'XGXGG', 'YGYGG', 'GGGGG']","[78, 13, 7, 1, 1]"
3,"['arles', 'filet', 'golem']","['XXGGX', 'XXGGX', 'GGGGG']","[4, 2, 2]"
3,"['arles', 'plouk', 'lusty']","['XXYXY', 'XYXYX', 'GGGGG']","[31, 1, 1]"
4,"['arles', 'tonic', 'wooly', 'loopy']","['XXYXX', 'XGXXX', 'XGGYG', 'GGGGG']","[91, 7, 1, 1]"
4,"['arles', 'cyton', 'rhino', 'round']","['XYXXX', 'XXXYY', 'GXXGY', 'GGGGG']","[74, 2, 1, 1]"
4,"['arles', 'optic', 'admit', 'audit']","['GXXXX', 'XXYGX', 'GYXGG', 'GGGGG']","[27, 3, 1, 1]"
4,"['arles', 'tonic', 'blind', 'lying']","['XXYXX', 'XXYYX', 'XYGGX', 'GGGGG']","[91, 4, 1, 1]"
3,"['arles', 'canty', 'gamma']","['YXXXX', 'XGXXX', 'GGGGG']","[119, 9, 9]"
4,"['arles', 'moral', 'flora', 'labor']","['YYYXX', 'XYYYY', 'XYYYY', 'GGGGG']","[14, 2, 1, 1]"
2,"['arles', 'islet']","['XXGGY', 'GGGGG']","[1, 1]"
4,"['arles', 'notum', 'dizzy', 'civic']","['XXXXX', 'XXXXX', 'XGXXX', 'GGGGG']","[205, 13, 1, 1]"
3,"['arles', 'certy', 'forge']","['XYXYX', 'XYGXX', 'GGGGG']","[64, 6, 6]"
3,"['arles', 'cyton', 'corny']","['XYXXX', 'GYXYY', 'GGGGG']","[74, 1, 1]"
4,"['arles', 'tonic', 'hotly', 'moult']","['XXYXX', 'YGXXX', 'XGYGX', 'GGGGG']","[91, 3, 1, 1]"
3,"['arles', 'canst', 'basic']","['YXXXY', 'YGXYX', 'GGGGG']","[62, 2, 2]"
4,"['arles', 'palsy', 'salon', 'salad']","['YXGXY', 'XGGYX', 'GGGXX', 'GGGGG']","[8, 3, 1, 1]"
3,"['arles', 'abate', 'agate']","['GXXYX', 'GXGGG', 'GGGGG']","[19, 1, 1]"
3,"['arles', 'skint', 'spicy']","['XXXXY', 'GXGXX', 'GGGGG']","[114, 2, 2]"
3,"['arles', 'coapt', 'spray']","['YYXXY', 'XXYYX', 'GGGGG']","[25, 1, 1]"
4,"['arles', 'staph', 'cause', 'essay']","['YXXYY', 'YXYXX', 'XYXYY', 'GGGGG']","[42, 3, 1, 1]"
4,"['arles', 'cyton', 'forgo', 'fjord']","['XYXXX', 'XXXYX', 'GYYXY', 'GGGGG']","[74, 6, 1, 1]"
3,"['arles', 'point', 'spend']","['XXXYY', 'YXXGX', 'GGGGG']","[67, 1, 1]"
3,"['arles', 'bhang', 'kebab']","['YXXYX', 'YXYXX', 'GGGGG']","[56, 2, 2]"
4,"['arles', 'tonic', 'blimp', 'guild']","['XXYXX', 'XXXYX', 'XYGXX', 'GGGGG']","[91, 7, 2, 2]"
3,"['arles', 'optic', 'aback']","['GXXXX', 'XXXXY', 'GGGGG']","[27, 1, 1]"
3,"['arles', 'cyton', 'motor']","['XYXXX', 'XXGGX', 'GGGGG']","[74, 3, 3]"
3,"['arles', 'angle', 'alone']","['GXYYX', 'GYXYG', 'GGGGG']","[10, 1, 1]"
4,"['arles', 'canty', 'batch', 'hatch']","['YXXXX', 'YGXYX', 'XGGGG', 'GGGGG']","[119, 6, 4, 4]"
3,"['arles', 'topic', 'hyper']","['XYXGX', 'XXGXX', 'GGGGG']","[78, 3, 3]"
3,"['arles', 'notum', 'thumb']","['XXXXX', 'XXYYY', 'GGGGG']","[205, 2, 2]"
3,"['arles', 'cyton', 'dowry']","['XYXXX', 'XYXYX', 'GGGGG']","[74, 6, 6]"
3,"['arles', 'notum', 'ought']","['XXXXX', 'XYYYX', 'GGGGG']","[205, 2, 2]"
3,"['arles', 'hello', 'belch']","['XXGYX', 'YGGYX', 'GGGGG']","[17, 2, 2]"
4,"['arles', 'notum', 'butch', 'dutch']","['XXXXX', 'XXGYX', 'XGGGG', 'GGGGG']","[205, 4, 2, 2]"
3,"['arles', 'viold', 'pilot']","['XXGXX', 'XGYYX', 'GGGGG']","[30, 1, 1]"
3,"['arles', 'tondi', 'tweed']","['XXXGX', 'GXXYX', 'GGGGG']","[44, 1, 1]"
3,"['arles', 'tondi', 'comet']","['XXXGX', 'YGXXX', 'GGGGG']","[44, 2, 2]"
6,"['arles', 'canty', 'daunt', 'gaunt', 'haunt', 'jaunt']","['YXXXX', 'XGYYX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[119, 10, 5, 4, 3, 3]"
4,"['arles', 'bhang', 'ocean', 'enema']","['YXXYX', 'XXYYX', 'XXGYY', 'GGGGG']","[56, 7, 1, 1]"
3,"['arles', 'sweet', 'steed']","['XXXGY', 'GXGGY', 'GGGGG']","[19, 2, 2]"
3,"['arles', 'amass', 'abyss']","['GXXXG', 'GXYGG', 'GGGGG']","[3, 1, 1]"
3,"['arles', 'drill', 'growl']","['XGYXX', 'XGXYG', 'GGGGG']","[13, 2, 2]"
4,"['arles', 'tonic', 'blind', 'fling']","['XXYXX', 'XXYYX', 'XGGGX', 'GGGGG']","[91, 4, 1, 1]"
3,"['arles', 'tondi', 'dozen']","['XXXGX', 'XGYYX', 'GGGGG']","[44, 1, 1]"
5,"['arles', 'notum', 'goody', 'booby', 'boozy']","['XXXXX', 'XGXXX', 'XGGXG', 'GGGYG', 'GGGGG']","[205, 14, 3, 1, 1]"
4,"['arles', 'pinot', 'drove', 'erode']","['XGXYX', 'XXXYX', 'YGGXG', 'GGGGG']","[45, 6, 1, 1]"
4,"['arles', 'blurb', 'girly', 'world']","['XYYXX', 'XYXYX', 'XXGGX', 'GGGGG']","[16, 3, 1, 1]"
4,"['arles', 'unite', 'budge', 'gouge']","['XXXYX', 'YXXXG', 'XYXGG', 'GGGGG']","[130, 9, 1, 1]"
4,"['arles', 'tonic', 'child', 'click']","['XXYXX', 'XXXYY', 'GXGYX', 'GGGGG']","[91, 8, 3, 3]"
