steps,words,feedback,ncands
3,"['tales', 'heart', 'cheat']","['YYXYX', 'YYYXG', 'GGGGG']","[24, 2, 2]"
5,"['tales', 'drone', 'price', 'bribe', 'grime']","['XXXYX', 'XGXXG', 'XGGXG', 'XGGXG', 'GGGGG']","[165, 9, 2, 1, 1]"
4,"['tales', 'elite', 'extol', 'exult']","['YXYYX', 'GYXYY', 'GGYXY', 'GGGGG']","[11, 2, 1, 1]"
4,"['tales', 'sweir', 'poser', 'usher']","['XXXGY', 'YXYXG', 'XXYGG', 'GGGGG']","[31, 2, 1, 1]"
3,"['tales', 'drone', 'epoch']","['XXXYX', 'XXGXY', 'GGGGG']","[165, 2, 2]"
3,"['tales', 'train', 'triad']","['GYXXX', 'GGYYX', 'GGGGG']","[14, 1, 1]"
3,"['tales', 'beard', 'break']","['XYXYX', 'GYYYX', 'GGGGG']","[83, 1, 1]"
4,"['tales', 'cornu', 'prong', 'rhino']","['XXXXX', 'XYYGX', 'XYYGX', 'GGGGG']","[221, 5, 1, 1]"
3,"['tales', 'corni', 'viral']","['XYYXX', 'XXGXY', 'GGGGG']","[67, 1, 1]"
5,"['tales', 'cornu', 'conch', 'condo', 'conic']","['XXXXX', 'GGXYX', 'GGGYX', 'GGGXY', 'GGGGG']","[221, 3, 2, 1, 1]"
4,"['tales', 'parse', 'cause', 'masse']","['XGXYY', 'XGXGG', 'XGXGG', 'GGGGG']","[6, 2, 1, 1]"
3,"['tales', 'prion', 'sonic']","['XXXXY', 'XXYYY', 'GGGGG']","[88, 1, 1]"
3,"['tales', 'bloat', 'vital']","['YYYXX', 'XYXGY', 'GGGGG']","[14, 1, 1]"
3,"['tales', 'trade', 'trace']","['GYXYX', 'GGGXG', 'GGGGG']","[9, 1, 1]"
4,"['tales', 'prion', 'suing', 'using']","['XXXXY', 'XXGXY', 'YYGGG', 'GGGGG']","[88, 5, 1, 1]"
4,"['tales', 'beard', 'heave', 'peach']","['XYXYX', 'XGGXX', 'YGGXY', 'GGGGG']","[83, 5, 1, 1]"
4,"['tales', 'brond', 'chaff', 'champ']","['XYXXX', 'XXXXX', 'GGGXX', 'GGGGG']","[102, 8, 1, 1]"
4,"['tales', 'pitch', 'batty', 'baton']","['YGXXX', 'XXGXX', 'GGGYX', 'GGGGG']","[31, 5, 1, 1]"
4,"['tales', 'beard', 'brace', 'brake']","['XYXYX', 'GYGYX', 'GGGXG', 'GGGGG']","[83, 3, 2, 2]"
3,"['tales', 'courd', 'pluck']","['XXYXX', 'YXGXX', 'GGGGG']","[99, 1, 1]"
5,"['tales', 'beard', 'crave', 'crane', 'craze']","['XYXYX', 'XYGYX', 'GGGXG', 'GGGXG', 'GGGGG']","[83, 8, 2, 1, 1]"
4,"['tales', 'drone', 'price', 'gripe']","['XXXYX', 'XGXXG', 'YGGXG', 'GGGGG']","[165, 9, 1, 1]"
3,"['tales', 'beard', 'weary']","['XYXYX', 'XGGGX', 'GGGGG']","[83, 3, 3]"
4,"['tales', 'cornu', 'mimic', 'picky']","['XXXXX', 'YXXXX', 'XGXYY', 'GGGGG']","[221, 3, 1, 1]"
