steps,words,feedback,ncands
4,"['reais', 'caput', 'ashen', 'essay']","['XYYXY', 'XYXXX', 'YGXYX', 'GGGGG']","[28, 4, 1, 1]"
4,"['reais', 'uncoy', 'growl', 'fjord']","['YXXXX', 'XXXYX', 'XYGXX', 'GGGGG']","[103, 12, 1, 1]"
4,"['reais', 'sloth', 'speed', 'spend']","['XYXXY', 'GXXXX', 'GGGYG', 'GGGGG']","[67, 5, 1, 1]"
4,"['reais', 'delta', 'began', 'kebab']","['XGYXX', 'XGXXY', 'YGXGX', 'GGGGG']","[19, 4, 1, 1]"
4,"['reais', 'clint', 'build', 'guild']","['XXXYX', 'XYGXX', 'XGGGG', 'GGGGG']","[118, 3, 1, 1]"
3,"['reais', 'clunk', 'aback']","['XXGXX', 'YXXXG', 'GGGGG']","[33, 2, 2]"
4,"['reais', 'uncoy', 'brood', 'motor']","['YXXXX', 'XXXGX', 'XYYGX', 'GGGGG']","[103, 12, 2, 2]"
4,"['reais', 'laten', 'angle', 'alone']","['XYYXX', 'YYXYY', 'GYXYG', 'GGGGG']","[90, 3, 1, 1]"
4,"['reais', 'canty', 'batch', 'hatch']","['XXYXX', 'YGXYX', 'XGGGG', 'GGGGG']","[150, 6, 5, 5]"
4,"['reais', 'coted', 'buyer', 'hyper']","['YYXXX', 'XXXGX', 'XXYGG', 'GGGGG']","[108, 13, 1, 1]"
3,"['reais', 'bludy', 'thumb']","['XXXXX', 'YXGXX', 'GGGGG']","[168, 1, 1]"
3,"['reais', 'uncoy', 'dowry']","['YXXXX', 'XXXYG', 'GGGGG']","[103, 7, 7]"
4,"['reais', 'bludy', 'humph', 'ought']","['XXXXX', 'XXYXX', 'YGXXY', 'GGGGG']","[168, 10, 1, 1]"
3,"['reais', 'lythe', 'belch']","['XGXXX', 'YXXYY', 'GGGGG']","[61, 3, 3]"
4,"['reais', 'bludy', 'donut', 'dutch']","['XXXXX', 'XXYYX', 'GXXYY', 'GGGGG']","[168, 2, 1, 1]"
4,"['reais', 'clint', 'light', 'pilot']","['XXXYX', 'XYYXG', 'YGXXG', 'GGGGG']","[118, 2, 1, 1]"
3,"['reais', 'noble', 'tweed']","['XYXXX', 'XXXXY', 'GGGGG']","[121, 8, 8]"
3,"['reais', 'noble', 'comet']","['XYXXX', 'XGXXY', 'GGGGG']","[121, 7, 7]"
6,"['reais', 'canty', 'daunt', 'gaunt', 'haunt', 'jaunt']","['XXYXX', 'XGYYX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[150, 9, 5, 4, 3, 3]"
4,"['reais', 'laten', 'amend', 'enema']","['XYYXX', 'XYXYY', 'YYGYX', 'GGGGG']","[90, 5, 1, 1]"
4,"['reais', 'sloth', 'spent', 'steed']","['XYXXY', 'GXXYX', 'GXGXY', 'GGGGG']","[67, 6, 1, 1]"
2,"['reais', 'abyss']","['XXYXG', 'GGGGG']","[1, 1]"
3,"['reais', 'uncoy', 'growl']","['YXXXX', 'XXXYX', 'GGGGG']","[103, 12, 12]"
4,"['reais', 'clint', 'blind', 'fling']","['XXXYX', 'XGGGX', 'XGGGX', 'GGGGG']","[118, 3, 1, 1]"
5,"['reais', 'noble', 'woken', 'coven', 'dozen']","['XYXXX', 'YGXXY', 'XGXGG', 'XGXGG', 'GGGGG']","[121, 8, 2, 1, 1]"
5,"['reais', 'bludy', 'bobby', 'booty', 'boozy']","['XXXXX', 'GXXXG', 'GGYYG', 'GGGXG', 'GGGGG']","[168, 4, 2, 1, 1]"
4,"['reais', 'coted', 'drone', 'erode']","['YYXXX', 'XYXYY', 'YGGXG', 'GGGGG']","[108, 3, 1, 1]"
4,"['reais', 'uncoy', 'growl', 'world']","['YXXXX', 'XXXYX', 'XYYYY', 'GGGGG']","[103, 12, 1, 1]"
4,"['reais', 'noble', 'coupe', 'gouge']","['XYXXX', 'XGXXG', 'XGGXG', 'GGGGG']","[121, 4, 1, 1]"
3,"['reais', 'clint', 'click']","['XXXYX', 'GGGXX', 'GGGGG']","[118, 3, 3]"
3,"['reais', 'cigar', 'briar']","['YXYYX', 'XYXGG', 'GGGGG']","[12, 2, 2]"
3,"['reais', 'aglet', 'great']","['YYYXX', 'YYXYG', 'GGGGG']","[57, 1, 1]"
3,"['reais', 'cymol', 'altar']","['YXYXX', 'XXXXY', 'GGGGG']","[60, 4, 4]"
4,"['reais', 'bludy', 'fully', 'pulpy']","['XXXXX', 'XYYXG', 'XGGYG', 'GGGGG']","[168, 5, 1, 1]"
4,"['reais', 'uncoy', 'trump', 'blurt']","['YXXXX', 'YXXXX', 'YYGXX', 'GGGGG']","[103, 6, 1, 1]"
