steps,words,feedback,ncands
5,"['lores', 'tragi', 'pride', 'brine', 'bribe']","['XXYYX', 'XGXXY', 'XGGXG', 'GGGXG', 'GGGGG']","[111, 10, 4, 1, 1]"
3,"['lores', 'punch', 'stout']","['XYXXY', 'XYXXX', 'GGGGG']","[37, 1, 1]"
3,"['lores', 'binal', 'panel']","['YXXGX', 'XXGYG', 'GGGGG']","[29, 1, 1]"
3,"['lores', 'brass', 'crass']","['XXYXG', 'XGGGG', 'GGGGG']","[4, 2, 2]"
4,"['lores', 'blade', 'fluke', 'flume']","['YXXYX', 'XGXXG', 'GGGXG', 'GGGGG']","[101, 5, 2, 2]"
3,"['lores', 'acton', 'offal']","['YYXXX', 'YXXYX', 'GGGGG']","[39, 2, 2]"
2,"['lores', 'agree']","['XXGGX', 'GGGGG']","[10, 10]"
2,"['lores', 'error']","['XYGYX', 'GGGGG']","[2, 2]"
3,"['lores', 'snarl', 'swirl']","['YXYXY', 'GXXGG', 'GGGGG']","[3, 1, 1]"
3,"['lores', 'tragi', 'argue']","['XXYYX', 'XGYYX', 'GGGGG']","[111, 1, 1]"
3,"['lores', 'binal', 'bleed']","['YXXGX', 'GXXXY', 'GGGGG']","[29, 2, 2]"
4,"['lores', 'blade', 'medal', 'delta']","['YXXYX', 'XYYYY', 'XGYYY', 'GGGGG']","[101, 6, 1, 1]"
4,"['lores', 'inula', 'cliff', 'flick']","['YXXXX', 'YXXYX', 'YGGYY', 'GGGGG']","[130, 11, 1, 1]"
4,"['lores', 'coven', 'dopey', 'totem']","['XGXGX', 'XGXGX', 'XGXGX', 'GGGGG']","[16, 4, 1, 1]"
3,"['lores', 'mower', 'wooer']","['XGYGX', 'XGYGG', 'GGGGG']","[19, 1, 1]"
4,"['lores', 'capon', 'frond', 'front']","['XYYXX', 'XXXYY', 'GGGGX', 'GGGGG']","[78, 6, 1, 1]"
3,"['lores', 'scrap', 'shrub']","['XXGXY', 'GXGXX', 'GGGGG']","[18, 3, 3]"
4,"['lores', 'chart', 'marry', 'parry']","['XXGXX', 'XXYGX', 'XGGGG', 'GGGGG']","[29, 2, 1, 1]"
3,"['lores', 'diane', 'biome']","['XYXYX', 'XGXXG', 'GGGGG']","[35, 1, 1]"
3,"['lores', 'libel', 'lapel']","['GXXGX', 'GXXGG', 'GGGGG']","[8, 2, 2]"
4,"['lores', 'thack', 'smart', 'start']","['XXYXY', 'YXGXX', 'GXGGG', 'GGGGG']","[38, 3, 1, 1]"
3,"['lores', 'train', 'greet']","['XXYGX', 'YGXXX', 'GGGGG']","[93, 1, 1]"
7,"['lores', 'mower', 'rover', 'joker', 'boxer', 'foyer', 'goner']","['XGYGX', 'XGXGG', 'YGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[19, 10, 5, 3, 2, 1, 1]"
3,"['lores', 'towel', 'golem']","['YGXGX', 'XGXGY', 'GGGGG']","[10, 1, 1]"
2,"['lores', 'lusty']","['GXXXY', 'GGGGG']","[1, 1]"
5,"['lores', 'loamy', 'lobby', 'lofty', 'loopy']","['GGXXX', 'GGXXG', 'GGXXG', 'GGXXG', 'GGGGG']","[10, 4, 3, 2, 2]"
3,"['lores', 'mourn', 'round']","['XGYXX', 'XGGYY', 'GGGGG']","[19, 1, 1]"
4,"['lores', 'daint', 'admit', 'audit']","['XXXXX', 'YYYXG', 'GYXGG', 'GGGGG']","[215, 2, 1, 1]"
3,"['lores', 'laugh', 'lying']","['GXXXX', 'GXXYX', 'GGGGG']","[16, 1, 1]"
4,"['lores', 'daint', 'baggy', 'gamma']","['XXXXX', 'XGXXX', 'XGYYX', 'GGGGG']","[215, 13, 1, 1]"
2,"['lores', 'labor']","['GYYXX', 'GGGGG']","[1, 1]"
4,"['lores', 'sleek', 'easel', 'islet']","['YXXGY', 'YYYGX', 'YXYGY', 'GGGGG']","[7, 2, 1, 1]"
4,"['lores', 'daint', 'hippy', 'civic']","['XXXXX', 'XXYXX', 'XGXXX', 'GGGGG']","[215, 10, 2, 2]"
2,"['lores', 'forge']","['XGGYX', 'GGGGG']","[6, 6]"
3,"['lores', 'forty', 'corny']","['XGGXX', 'XGGXG', 'GGGGG']","[17, 4, 4]"
4,"['lores', 'fully', 'could', 'moult']","['YGXXX', 'XYYGX', 'XGGGX', 'GGGGG']","[27, 3, 1, 1]"
4,"['lores', 'snath', 'assay', 'basic']","['XXXXY', 'YXYXX', 'YYGYX', 'GGGGG']","[122, 4, 1, 1]"
4,"['lores', 'hault', 'basal', 'salad']","['YXXXY', 'XGXYX', 'XGYGY', 'GGGGG']","[58, 6, 1, 1]"
4,"['lores', 'diane', 'agape', 'agate']","['XXXYX', 'XXGXG', 'GGGXG', 'GGGGG']","[163, 10, 1, 1]"
3,"['lores', 'snath', 'spicy']","['XXXXY', 'GXXXX', 'GGGGG']","[122, 6, 6]"
3,"['lores', 'scrap', 'spray']","['XXGXY', 'GXGGY', 'GGGGG']","[18, 1, 1]"
4,"['lores', 'saith', 'abase', 'essay']","['XXXYY', 'YYXXX', 'YXYYY', 'GGGGG']","[88, 6, 1, 1]"
4,"['lores', 'capon', 'droit', 'fjord']","['XYYXX', 'XXXYX', 'YYGXX', 'GGGGG']","[78, 9, 1, 1]"
4,"['lores', 'saith', 'scene', 'spend']","['XXXYY', 'GXXXX', 'GXGGY', 'GGGGG']","[88, 6, 1, 1]"
4,"['lores', 'diane', 'cheat', 'kebab']","['XXXYX', 'XXYXY', 'XXYGX', 'GGGGG']","[163, 8, 1, 1]"
4,"['lores', 'inula', 'built', 'guild']","['YXXXX', 'YXYGX', 'XGGGX', 'GGGGG']","[130, 6, 2, 2]"
3,"['lores', 'daint', 'aback']","['XXXXX', 'XYXXX', 'GGGGG']","[215, 6, 6]"
3,"['lores', 'mourn', 'motor']","['XGYXX', 'GGXYX', 'GGGGG']","[19, 1, 1]"
3,"['lores', 'clone', 'alone']","['YYXYX', 'XGGGG', 'GGGGG']","[16, 1, 1]"
