steps,words,feedback,ncands
3,"['lores', 'binal', 'panel']","['YXXGX', 'XXGYG', 'GGGGG']","[29, 1, 1]"
3,"['lores', 'brass', 'crass']","['XXYXG', 'XGGGG', 'GGGGG']","[4, 2, 2]"
5,"['lores', 'diact', 'belle', 'fluke', 'flume']","['YXXYX', 'XXXXX', 'XYYYG', 'GGGXG', 'GGGGG']","[101, 12, 3, 1, 1]"
4,"['lores', 'adbot', 'cloak', 'offal']","['YYXXX', 'YXXYX', 'XYYGX', 'GGGGG']","[39, 3, 1, 1]"
3,"['lores', 'parer', 'agree']","['XXGGX', 'XYGGY', 'GGGGG']","[10, 1, 1]"
2,"['lores', 'error']","['XYGYX', 'GGGGG']","[2, 2]"
3,"['lores', 'snarl', 'swirl']","['YXYXY', 'GXXGG', 'GGGGG']","[3, 1, 1]"
4,"['lores', 'diact', 'break', 'argue']","['XXYYX', 'XXYXX', 'XGYYX', 'GGGGG']","[111, 11, 1, 1]"
3,"['lores', 'binal', 'bleed']","['YXXGX', 'GXXXY', 'GGGGG']","[29, 2, 2]"
3,"['lores', 'diact', 'delta']","['YXXYX', 'GXYXY', 'GGGGG']","[101, 1, 1]"
3,"['lores', 'cabin', 'flick']","['YXXXX', 'YXXYX', 'GGGGG']","[130, 2, 2]"
4,"['lores', 'women', 'modem', 'totem']","['XGXGX', 'XGYGX', 'YGXGG', 'GGGGG']","[16, 2, 1, 1]"
3,"['lores', 'mower', 'wooer']","['XGYGX', 'XGYGG', 'GGGGG']","[19, 1, 1]"
4,"['lores', 'canid', 'frown', 'front']","['XYYXX', 'XXYXX', 'GGGXY', 'GGGGG']","[78, 7, 1, 1]"
4,"['lores', 'strap', 'scrub', 'shrub']","['XXGXY', 'GXGXX', 'GXGGG', 'GGGGG']","[18, 4, 1, 1]"
4,"['lores', 'match', 'parka', 'parry']","['XXGXX', 'XGXXX', 'GGGXY', 'GGGGG']","[29, 2, 1, 1]"
4,"['lores', 'anode', 'choke', 'biome']","['XYXYX', 'XXGXG', 'XXGXG', 'GGGGG']","[35, 4, 2, 2]"
3,"['lores', 'label', 'lapel']","['GXXGX', 'GGXGG', 'GGGGG']","[8, 1, 1]"
4,"['lores', 'shakt', 'smart', 'start']","['XXYXY', 'GXGXG', 'GXGGG', 'GGGGG']","[38, 2, 1, 1]"
3,"['lores', 'daint', 'greet']","['XXYGX', 'XXXXG', 'GGGGG']","[93, 1, 1]"
7,"['lores', 'mower', 'rover', 'joker', 'boxer', 'foyer', 'goner']","['XGYGX', 'XGXGG', 'YGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[19, 10, 5, 3, 2, 1, 1]"
3,"['lores', 'towel', 'golem']","['YGXGX', 'XGXGY', 'GGGGG']","[10, 1, 1]"
