steps,words,feedback,ncands
3,"['crane', 'slipt', 'pilot']","['XXXXX', 'XYYYG', 'GGGGG']","[263, 1, 1]"
4,"['crane', 'spilt', 'jetty', 'tweed']","['XXXXY', 'XXXXY', 'XYYYX', 'GGGGG']","[127, 7, 1, 1]"
3,"['crane', 'cleft', 'comet']","['GXXXY', 'GXYXG', 'GGGGG']","[11, 2, 2]"
6,"['crane', 'faint', 'daunt', 'gaunt', 'haunt', 'jaunt']","['XXYGX', 'XGXGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[20, 6, 5, 4, 3, 3]"
3,"['crane', 'elvan', 'enema']","['XXYYY', 'GXXYY', 'GGGGG']","[21, 1, 1]"
3,"['crane', 'spilt', 'steed']","['XXXXY', 'GXXXY', 'GGGGG']","[127, 1, 1]"
3,"['crane', 'toils', 'abyss']","['XXYXX', 'XXXXG', 'GGGGG']","[134, 1, 1]"
4,"['crane', 'pilot', 'droll', 'growl']","['XGXXX', 'XXYYX', 'XGGYG', 'GGGGG']","[51, 2, 1, 1]"
4,"['crane', 'gouts', 'dying', 'fling']","['XXXGX', 'YXXXX', 'XXGGG', 'GGGGG']","[58, 4, 1, 1]"
4,"['crane', 'timon', 'woken', 'dozen']","['XXXYY', 'XXXYG', 'XGXGG', 'GGGGG']","[58, 4, 1, 1]"
5,"['crane', 'slipt', 'budge', 'bobby', 'boozy']","['XXXXX', 'XXXXX', 'GXXXX', 'GGYYG', 'GGGGG']","[263, 25, 3, 1, 1]"
4,"['crane', 'pivot', 'broke', 'erode']","['XGXXG', 'XXXYX', 'XGGXG', 'GGGGG']","[26, 3, 2, 2]"
4,"['crane', 'shout', 'rowdy', 'world']","['XYXXX', 'XXYXX', 'YGYYX', 'GGGGG']","[90, 9, 1, 1]"
4,"['crane', 'toils', 'dodge', 'gouge']","['XXXXG', 'XGXXX', 'XGXGG', 'GGGGG']","[102, 4, 1, 1]"
3,"['crane', 'mouch', 'click']","['GXXXX', 'XXXGX', 'GGGGG']","[25, 1, 1]"
3,"['crane', 'arbor', 'briar']","['XGYXX', 'YGYXG', 'GGGGG']","[12, 1, 1]"
3,"['crane', 'tread', 'great']","['XGYXY', 'YGGGX', 'GGGGG']","[9, 1, 1]"
3,"['crane', 'parol', 'altar']","['XYYXX', 'XYYXY', 'GGGGG']","[65, 2, 2]"
4,"['crane', 'slipt', 'loopy', 'pulpy']","['XXXXX', 'XYXGX', 'YXXGG', 'GGGGG']","[263, 4, 1, 1]"
3,"['crane', 'shout', 'blurt']","['XYXXX', 'XXXYG', 'GGGGG']","[90, 1, 1]"
4,"['crane', 'chasm', 'clasp', 'coast']","['GXGXX', 'GXGGX', 'GXGGX', 'GGGGG']","[13, 3, 1, 1]"
4,"['crane', 'kutis', 'gulch', 'duchy']","['YXXXX', 'XGXXX', 'XGXYY', 'GGGGG']","[55, 3, 1, 1]"
3,"['crane', 'brown', 'groin']","['XGXYX', 'XGGXG', 'GGGGG']","[5, 1, 1]"
6,"['crane', 'rosit', 'diver', 'fiber', 'filer', 'fixer']","['XYXXY', 'YXXYX', 'XGXGG', 'GGXGG', 'GGXGG', 'GGGGG']","[122, 14, 4, 2, 1, 1]"
3,"['crane', 'pilot', 'group']","['XGXXX', 'YXXYX', 'GGGGG']","[51, 1, 1]"
3,"['crane', 'sprog', 'rogue']","['XYXXG', 'XXYYY', 'GGGGG']","[40, 2, 2]"
4,"['crane', 'toils', 'madly', 'badly']","['XXYXX', 'XXXGX', 'XGGGG', 'GGGGG']","[134, 6, 1, 1]"
3,"['crane', 'shtik', 'smart']","['XYGXX', 'GXYXX', 'GGGGG']","[24, 2, 2]"
3,"['crane', 'slipt', 'pithy']","['XXXXX', 'XXYYY', 'GGGGG']","[263, 1, 1]"
3,"['crane', 'toils', 'gaudy']","['XXYXX', 'XXXXX', 'GGGGG']","[134, 15, 15]"
5,"['crane', 'mouch', 'child', 'chili', 'chill']","['GXXXX', 'XXXYY', 'GGGGX', 'GGGGY', 'GGGGG']","[25, 3, 2, 1, 1]"
3,"['crane', 'sined', 'heron']","['XYXYY', 'XXYYX', 'GGGGG']","[27, 3, 3]"
4,"['crane', 'toils', 'dogma', 'vodka']","['XXYXX', 'XGXXX', 'YGXXG', 'GGGGG']","[134, 2, 1, 1]"
3,"['crane', 'sined', 'finer']","['XYXYY', 'XGGGX', 'GGGGG']","[27, 3, 3]"
4,"['crane', 'rosit', 'serum', 'surer']","['XYXXY', 'YXYXX', 'GYGYX', 'GGGGG']","[122, 9, 1, 1]"
3,"['crane', 'parol', 'radio']","['XYYXX', 'XGYYX', 'GGGGG']","[65, 2, 2]"
4,"['crane', 'sprog', 'rogue', 'rouge']","['XYXXG', 'XXYYY', 'GGYYG', 'GGGGG']","[40, 2, 1, 1]"
4,"['crane', 'recur', 'mercy', 'perch']","['YYXXY', 'YGYXY', 'XGGGX', 'GGGGG']","[10, 2, 1, 1]"
4,"['crane', 'recur', 'relic', 'retch']","['YYXXY', 'GGYXY', 'GGXXY', 'GGGGG']","[10, 2, 1, 1]"
3,"['crane', 'pivot', 'wrote']","['XGXXG', 'XXXYY', 'GGGGG']","[26, 1, 1]"
3,"['crane', 'mouch', 'clock']","['GXXXX', 'XYXGX', 'GGGGG']","[25, 1, 1]"
