,steps,words,feedback,ncands
147,3,"['lores', 'start', 'smart']","['XXYXY', 'GYGGG', 'GGGGG']","[38, 1, 1]"
148,5,"['lores', 'canny', 'puppy', 'pygmy', 'pithy']","['XXXXX', 'XXXXG', 'GXYYG', 'GYXXG', 'GGGGG']","[215, 29, 3, 1, 1]"
149,7,"['lores', 'canny', 'tatty', 'happy', 'daddy', 'bawdy', 'gaudy']","['XXXXX', 'XGXXG', 'XGXXG', 'XGXXG', 'YGYGG', 'XGXGG', 'GGGGG']","[215, 15, 9, 7, 2, 1, 1]"
150,4,"['lores', 'allay', 'quill', 'chill']","['YXXXX', 'XYYXX', 'XXGGG', 'GGGGG']","[130, 13, 1, 1]"
151,3,"['lores', 'error', 'heron']","['XYGYX', 'YYGGY', 'GGGGG']","[2, 1, 1]"
152,4,"['lores', 'tooth', 'condo', 'vodka']","['XGXXX', 'XGYXX', 'XGXYY', 'GGGGG']","[76, 28, 3, 3]"
153,5,"['lores', 'freer', 'fever', 'fiber', 'finer']","['XXYGX', 'GYYGG', 'GYXGG', 'GGXGG', 'GGGGG']","[93, 5, 3, 2, 2]"
154,5,"['lores', 'screw', 'spree', 'siren', 'surer']","['XXGGY', 'GXGGX', 'GXGGY', 'GXGGX', 'GGGGG']","[6, 3, 2, 1, 1]"
155,3,"['lores', 'brood', 'radio']","['XYYXX', 'XYYYY', 'GGGGG']","[78, 2, 2]"
156,3,"['lores', 'route', 'rouge']","['XGYYX', 'GGGXG', 'GGGGG']","[3, 1, 1]"
157,4,"['lores', 'eerie', 'berry', 'perch']","['XXGYX', 'YGGXY', 'XGGYX', 'GGGGG']","[25, 12, 2, 2]"
158,4,"['lores', 'crepe', 'reach', 'retch']","['XXYYX', 'YYYXY', 'GGXGG', 'GGGGG']","[111, 6, 1, 1]"
159,4,"['lores', 'erode', 'prove', 'wrote']","['XYYYX', 'YGGXG', 'XGGXG', 'GGGGG']","[24, 11, 4, 4]"
160,4,"['lores', 'aloof', 'block', 'clock']","['YYXXX', 'XGGYX', 'XGGGG', 'GGGGG']","[39, 8, 1, 1]"
161,4,"['lores', 'belle', 'value', 'tilde']","['YXXYX', 'XYGYG', 'XXGXG', 'GGGGG']","[101, 4, 1, 1]"
162,3,"['lores', 'score', 'store']","['XYYYY', 'GXGGG', 'GGGGG']","[8, 5, 5]"
163,3,"['lores', 'erode', 'prove']","['XYYYX', 'YGGXG', 'GGGGG']","[24, 11, 11]"
164,4,"['lores', 'trait', 'brink', 'bring']","['XXYXX', 'XGXYX', 'GGGGX', 'GGGGG']","[109, 12, 2, 2]"
