,steps,words,feedback,ncands
68,5,"['reais', 'emcee', 'theme', 'plume', 'flume']","['XYXXX', 'YYXYG', 'XXYGG', 'XGGGG', 'GGGGG']","[121, 5, 3, 1, 1]"
69,4,"['reais', 'canal', 'total', 'offal']","['XXYXX', 'XYXGG', 'XYXGG', 'GGGGG']","[150, 6, 1, 1]"
70,3,"['reais', 'rarer', 'agree']","['YYYXX', 'YYGGY', 'GGGGG']","[57, 1, 1]"
71,3,"['reais', 'freer', 'error']","['YYXXX', 'XGYYG', 'GGGGG']","[108, 1, 1]"
72,4,"['reais', 'frisk', 'shirt', 'swirl']","['YXXYY', 'XYGYX', 'GXGGX', 'GGGGG']","[12, 2, 1, 1]"
73,4,"['reais', 'rarer', 'treat', 'argue']","['YYYXX', 'YYYYY', 'XGYYX', 'GGGGG']","[57, 19, 1, 1]"
74,4,"['reais', 'emcee', 'dowel', 'bleed']","['XYXXX', 'YXXGY', 'YXXGY', 'GGGGG']","[121, 29, 1, 1]"
75,3,"['reais', 'decal', 'delta']","['XGYXX', 'GGXYY', 'GGGGG']","[19, 1, 1]"
76,4,"['reais', 'icily', 'cliff', 'flick']","['XXXYX', 'YYGYX', 'YGGYY', 'GGGGG']","[118, 6, 1, 1]"
77,5,"['reais', 'emcee', 'women', 'model', 'totem']","['XYXXX', 'YYXGY', 'XGYGX', 'YGXGX', 'GGGGG']","[121, 10, 5, 1, 1]"
78,4,"['reais', 'freer', 'rower', 'wooer']","['YYXXX', 'XYYGG', 'YGYGG', 'GGGGG']","[108, 38, 1, 1]"
79,4,"['reais', 'error', 'crown', 'front']","['YXXXX', 'XGYYY', 'XGGXY', 'GGGGG']","[103, 25, 3, 3]"
80,3,"['reais', 'short', 'shrub']","['YXXXY', 'GGXYX', 'GGGGG']","[32, 2, 2]"
81,4,"['reais', 'array', 'party', 'parry']","['YXYXX', 'YYGYG', 'GGGXG', 'GGGGG']","[60, 9, 1, 1]"
82,5,"['reais', 'niece', 'title', 'midge', 'biome']","['XYXYX', 'XGYXG', 'XGXXG', 'YGXXG', 'GGGGG']","[74, 10, 4, 1, 1]"
83,4,"['reais', 'eagle', 'label', 'lapel']","['XYYXX', 'YGXYY', 'GGXGG', 'GGGGG']","[90, 8, 1, 1]"
84,3,"['reais', 'shark', 'start']","['YXGXY', 'GXGGX', 'GGGGG']","[15, 6, 6]"
85,5,"['reais', 'freer', 'green', 'greed', 'greet']","['YYXXX', 'XGGGY', 'GGGGX', 'GGGGX', 'GGGGG']","[108, 8, 2, 1, 1]"
86,8,"['reais', 'freer', 'rower', 'cover', 'boxer', 'poker', 'homer', 'goner']","['YYXXX', 'XYYGG', 'YGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[108, 38, 11, 5, 4, 2, 1, 1]"
87,5,"['reais', 'emcee', 'women', 'model', 'golem']","['XYXXX', 'YYXGY', 'XGYGX', 'YGXGY', 'GGGGG']","[121, 10, 5, 1, 1]"
88,3,"['reais', 'slosh', 'lusty']","['XXXXY', 'YYXYX', 'GGGGG']","[89, 1, 1]"
89,5,"['reais', 'booty', 'woody', 'goofy', 'loopy']","['XXXXX', 'XGGXG', 'XGGXG', 'XGGXG', 'GGGGG']","[168, 7, 2, 1, 1]"
90,3,"['reais', 'rugby', 'round']","['GXXXX', 'GYXXX', 'GGGGG']","[10, 1, 1]"
91,4,"['reais', 'mania', 'audio', 'audit']","['XXYGX', 'XYXGY', 'GGGGX', 'GGGGG']","[24, 6, 1, 1]"
92,3,"['reais', 'icily', 'lying']","['XXXYX', 'YXGYY', 'GGGGG']","[118, 1, 1]"
93,4,"['reais', 'canal', 'tatty', 'gamma']","['XXYXX', 'XGXYX', 'XGXXX', 'GGGGG']","[150, 24, 5, 5]"
94,3,"['reais', 'array', 'labor']","['YXYXX', 'YYYYX', 'GGGGG']","[60, 11, 11]"
95,3,"['reais', 'spine', 'islet']","['XYXYY', 'YXYXY', 'GGGGG']","[28, 1, 1]"
96,2,"['reais', 'civic']","['XXXGX', 'GGGGG']","[40, 40]"
97,4,"['reais', 'freer', 'force', 'forge']","['YYXXX', 'GYYYY', 'GGGXG', 'GGGGG']","[108, 3, 2, 2]"
98,6,"['reais', 'error', 'worry', 'forty', 'horny', 'corny']","['YXXXX', 'XYGYY', 'XGGYG', 'XGGXG', 'XGGGG', 'GGGGG']","[103, 16, 3, 2, 1, 1]"
99,4,"['reais', 'booty', 'mount', 'moult']","['XXXXX', 'XGYYX', 'GGGXG', 'GGGGG']","[168, 7, 1, 1]"
100,3,"['reais', 'basin', 'basic']","['XXYGY', 'GGGGX', 'GGGGG']","[4, 2, 2]"
101,4,"['reais', 'sassy', 'salon', 'salad']","['XXYXY', 'GGYYX', 'GGGXX', 'GGGGG']","[37, 4, 1, 1]"
102,4,"['reais', 'elate', 'ovate', 'agate']","['XYGXX', 'YXGGG', 'XXGGG', 'GGGGG']","[26, 3, 2, 2]"
103,4,"['reais', 'sissy', 'spiny', 'spicy']","['XXXYY', 'GYYYG', 'GGGXG', 'GGGGG']","[53, 5, 2, 2]"
104,3,"['reais', 'stray', 'spray']","['YXYXY', 'GXGGG', 'GGGGG']","[15, 1, 1]"
105,4,"['reais', 'masse', 'asset', 'essay']","['XYYXY', 'XYGYY', 'YGGYX', 'GGGGG']","[28, 2, 1, 1]"
106,5,"['reais', 'error', 'court', 'glory', 'fjord']","['YXXXX', 'XYYYY', 'XYXGX', 'XXGGX', 'GGGGG']","[103, 9, 3, 1, 1]"
107,4,"['reais', 'sheet', 'scene', 'spend']","['XYXXY', 'GXGYX', 'GXGGY', 'GGGGG']","[67, 6, 1, 1]"
108,4,"['reais', 'decal', 'began', 'kebab']","['XGYXX', 'XGXGX', 'YGXGX', 'GGGGG']","[19, 4, 1, 1]"
109,4,"['reais', 'icily', 'built', 'guild']","['XXXYX', 'YXGGX', 'XGGGX', 'GGGGG']","[118, 6, 2, 2]"
110,5,"['reais', 'clank', 'quack', 'whack', 'aback']","['XXGXX', 'YXGXG', 'XXGGG', 'XXGGG', 'GGGGG']","[33, 3, 2, 1, 1]"
111,5,"['reais', 'error', 'honor', 'color', 'motor']","['YXXXX', 'XYYGG', 'XGXGG', 'XGXGG', 'GGGGG']","[103, 8, 2, 1, 1]"
112,3,"['reais', 'eagle', 'alone']","['XYYXX', 'YYXYG', 'GGGGG']","[90, 1, 1]"
113,6,"['reais', 'canal', 'match', 'watch', 'patch', 'hatch']","['XXYXX', 'YGXYX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[150, 10, 4, 3, 2, 2]"
114,6,"['reais', 'freer', 'rower', 'elder', 'upper', 'hyper']","['YYXXX', 'XYYGG', 'YXXGG', 'YXXGG', 'XYGGG', 'GGGGG']","[108, 38, 15, 7, 1, 1]"
115,3,"['reais', 'booty', 'thumb']","['XXXXX', 'YXXYX', 'GGGGG']","[168, 1, 1]"
116,4,"['reais', 'error', 'court', 'dowry']","['YXXXX', 'XYYYY', 'XGXGX', 'GGGGG']","[103, 9, 1, 1]"
117,3,"['reais', 'booty', 'ought']","['XXXXX', 'XYYYX', 'GGGGG']","[168, 3, 3]"
118,5,"['reais', 'melee', 'below', 'belly', 'belch']","['XGXXX', 'XGGYY', 'GGGXX', 'GGGYX', 'GGGGG']","[61, 8, 2, 1, 1]"
119,3,"['reais', 'booty', 'dutch']","['XXXXX', 'XXXYX', 'GGGGG']","[168, 4, 4]"
120,4,"['reais', 'icily', 'light', 'pilot']","['XXXYX', 'YXYYX', 'YGXXG', 'GGGGG']","[118, 5, 1, 1]"
121,4,"['reais', 'emcee', 'dowel', 'tweed']","['XYXXX', 'YXXGY', 'YXYGX', 'GGGGG']","[121, 29, 1, 1]"
122,3,"['reais', 'emcee', 'comet']","['XYXXX', 'YYYGY', 'GGGGG']","[121, 1, 1]"
123,8,"['reais', 'canal', 'fauna', 'haunt', 'gaunt', 'taunt', 'daunt', 'jaunt']","['XXYXX', 'XGYYX', 'XGGGY', 'XGGGG', 'XGGGG', 'YGGGG', 'XGGGG', 'GGGGG']","[150, 10, 6, 5, 4, 3, 2, 2]"
124,3,"['reais', 'eagle', 'enema']","['XYYXX', 'GYXXY', 'GGGGG']","[90, 1, 1]"
125,5,"['reais', 'sheet', 'steel', 'steep', 'steed']","['XYXXY', 'GXGGY', 'GGGGX', 'GGGGX', 'GGGGG']","[67, 3, 2, 1, 1]"
126,2,"['reais', 'abyss']","['XXYXG', 'GGGGG']","[1, 1]"
127,4,"['reais', 'error', 'crown', 'growl']","['YXXXX', 'XGYYY', 'XGGGX', 'GGGGG']","[103, 25, 2, 2]"
128,5,"['reais', 'icily', 'blind', 'flint', 'fling']","['XXXYX', 'YXGYX', 'XGGGX', 'GGGGX', 'GGGGG']","[118, 7, 3, 1, 1]"
129,4,"['reais', 'emcee', 'dowel', 'dozen']","['XYXXX', 'YXXGY', 'GGXGX', 'GGGGG']","[121, 29, 2, 2]"
130,4,"['reais', 'booty', 'booby', 'boozy']","['XXXXX', 'GGGXG', 'GGGYG', 'GGGGG']","[168, 2, 1, 1]"
131,3,"['reais', 'freer', 'erode']","['YYXXX', 'XGYYY', 'GGGGG']","[108, 19, 19]"
132,4,"['reais', 'error', 'worry', 'world']","['YXXXX', 'XYGYY', 'GGGYX', 'GGGGG']","[103, 16, 2, 2]"
