count,mean,std,min,25%,50%,75%,max,word1,word2,iter_2_or_less,iter_3,iter_4,iter_5,iter_6,fail
2315.0,4.269114470842332,1.0848492410596333,1.0,4.0,4.0,5.0,11.0,raise,nould,0.00043196544276457883,0.2306695464362851,0.43326133909287257,0.22937365010799135,0.06868250539956804,0.03758099352051836
2315.0,4.212526997840173,1.1085112531611443,1.0,3.0,4.0,5.0,10.0,raise,donut,0.0008639308855291577,0.26954643628509717,0.408207343412527,0.21684665226781857,0.0695464362850972,0.03498920086393088
2315.0,4.187473002159828,1.090272205404072,1.0,3.0,4.0,5.0,11.0,raise,clout,0.0008639308855291577,0.2755939524838013,0.4120950323974082,0.2120950323974082,0.06393088552915767,0.035421166306695465
2315.0,4.228941684665227,1.0714857146108563,1.0,4.0,4.0,5.0,11.0,raise,pluto,0.00043196544276457883,0.24838012958963282,0.42807775377969765,0.21900647948164148,0.07041036717062635,0.033693304535637146
2315.0,4.207343412526998,1.0605023112242444,1.0,4.0,4.0,5.0,10.0,raise,moult,0.0008639308855291577,0.2488120950323974,0.43930885529157665,0.21684665226781857,0.059611231101511876,0.03455723542116631
2315.0,4.270842332613391,1.0959148346205119,3.0,4.0,4.0,5.0,11.0,notes,urial,0.0,0.2384449244060475,0.42548596112311016,0.22203023758099352,0.07602591792656588,0.03801295896328294
2315.0,4.208639308855291,1.0681665512711456,3.0,3.0,4.0,5.0,11.0,notes,laird,0.0,0.2548596112311015,0.4319654427645788,0.216414686825054,0.06349892008639309,0.03326133909287257
2315.0,4.251835853131749,1.109435391304072,3.0,4.0,4.0,5.0,10.0,notes,lairy,0.0,0.24838012958963282,0.42764578833693306,0.2120950323974082,0.07041036717062635,0.04146868250539957
2315.0,4.227645788336933,1.0479082901629482,3.0,4.0,4.0,5.0,10.0,notes,pilar,0.0,0.2406047516198704,0.4401727861771058,0.2203023758099352,0.0652267818574514,0.033693304535637146
2315.0,4.22548596112311,1.0461057406039385,3.0,4.0,4.0,5.0,10.0,notes,armil,0.0,0.24319654427645787,0.43844492440604754,0.21468682505399567,0.07257019438444924,0.031101511879049675
2315.0,4.226349892008639,1.0675930036033874,2.0,4.0,4.0,5.0,10.0,notes,acrid,0.00043196544276457883,0.2449244060475162,0.4375809935205184,0.216414686825054,0.06479481641468683,0.035853131749460046
2315.0,4.170194384449244,1.052827491618458,2.0,3.0,4.0,5.0,10.0,senor,tidal,0.00043196544276457883,0.2630669546436285,0.44362850971922246,0.20259179265658747,0.0591792656587473,0.031101511879049675
2315.0,4.227213822894169,1.0918266174827285,3.0,4.0,4.0,5.0,11.0,senor,laity,0.0,0.24967602591792656,0.43801295896328296,0.21079913606911446,0.06004319654427646,0.04146868250539957
2315.0,4.198704103671706,1.0519348991804038,3.0,3.5,4.0,5.0,10.0,senor,ictal,0.0,0.2501079913606911,0.4475161987041037,0.20863930885529158,0.058315334773218146,0.035421166306695465
2315.0,4.160691144708423,1.0697827496492207,2.0,3.0,4.0,5.0,11.0,senor,plait,0.00043196544276457883,0.2755939524838013,0.432829373650108,0.2,0.056155507559395246,0.03498920086393088
