,steps,words,feedback,ncands
66,4,"['reais', 'leant', 'glean', 'panel']","['XYYXX', 'YYYYX', 'XYYYY', 'GGGGG']","[90, 7, 3, 3]"
67,2,"['reais', 'crass']","['YXGXG', 'GGGGG']","[3, 3]"
68,3,"['reais', 'noule', 'flume']","['XYXXX', 'XXGYG', 'GGGGG']","[121, 5, 5]"
69,4,"['reais', 'tolan', 'cloak', 'offal']","['XXYXX', 'XYYGX', 'XYYGX', 'GGGGG']","[150, 2, 1, 1]"
70,4,"['reais', 'grate', 'barge', 'agree']","['YYYXX', 'YYYXG', 'XYGYG', 'GGGGG']","[57, 3, 1, 1]"
71,4,"['reais', 'outre', 'cower', 'error']","['YYXXX', 'YXXYY', 'XYXYG', 'GGGGG']","[108, 18, 1, 1]"
72,3,"['reais', 'skirt', 'swirl']","['YXXYY', 'GXGGX', 'GGGGG']","[12, 1, 1]"
73,3,"['reais', 'grate', 'argue']","['YYYXX', 'YGYXG', 'GGGGG']","[57, 1, 1]"
74,4,"['reais', 'noule', 'cleft', 'bleed']","['XYXXX', 'XXXYY', 'XGGXX', 'GGGGG']","[121, 10, 3, 3]"
75,2,"['reais', 'delta']","['XGYXX', 'GGGGG']","[19, 19]"
76,4,"['reais', 'linty', 'child', 'flick']","['XXXYX', 'YYXXX', 'YXGYX', 'GGGGG']","[118, 12, 1, 1]"
77,4,"['reais', 'noule', 'comet', 'totem']","['XYXXX', 'XGXXY', 'XGYGY', 'GGGGG']","[121, 7, 1, 1]"
78,4,"['reais', 'outre', 'cower', 'wooer']","['YYXXX', 'YXXYY', 'XGYGG', 'GGGGG']","[108, 18, 1, 1]"
79,3,"['reais', 'court', 'front']","['YXXXX', 'XYXYG', 'GGGGG']","[103, 1, 1]"
80,3,"['reais', 'sutor', 'shrub']","['YXXXY', 'GYXXY', 'GGGGG']","[32, 7, 7]"
81,4,"['reais', 'molar', 'party', 'parry']","['YXYXX', 'XXXYY', 'GGGXG', 'GGGGG']","[60, 10, 1, 1]"
82,4,"['reais', 'intel', 'chide', 'biome']","['XYXYX', 'YXXYX', 'XXYXG', 'GGGGG']","[74, 12, 2, 2]"
83,3,"['reais', 'leant', 'lapel']","['XYYXX', 'GYYXX', 'GGGGG']","[90, 3, 3]"
84,4,"['reais', 'trash', 'smart', 'start']","['YXGXY', 'YYGYX', 'GXGGG', 'GGGGG']","[15, 3, 1, 1]"
85,4,"['reais', 'outre', 'crept', 'greet']","['YYXXX', 'XXYYY', 'XGGXG', 'GGGGG']","[108, 7, 1, 1]"
86,6,"['reais', 'outre', 'cower', 'hover', 'poker', 'goner']","['YYXXX', 'YXXYY', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[108, 18, 9, 5, 3, 3]"
87,4,"['reais', 'noule', 'towel', 'golem']","['XYXXX', 'XGXYY', 'XGXGY', 'GGGGG']","[121, 9, 1, 1]"
88,3,"['reais', 'tousy', 'lusty']","['XXXXY', 'YXYYG', 'GGGGG']","[89, 4, 4]"
89,5,"['reais', 'uncoy', 'goldy', 'lofty', 'loopy']","['XXXXX', 'XXXYG', 'XGYXG', 'GGXXG', 'GGGGG']","[168, 30, 6, 3, 3]"
90,2,"['reais', 'round']","['GXXXX', 'GGGGG']","[10, 10]"
91,3,"['reais', 'diact', 'audit']","['XXYGX', 'YYYXG', 'GGGGG']","[24, 2, 2]"
92,3,"['reais', 'linty', 'lying']","['XXXYX', 'GYYXY', 'GGGGG']","[118, 1, 1]"
93,4,"['reais', 'tolan', 'gaudy', 'gamma']","['XXYXX', 'XXXYX', 'GGXXX', 'GGGGG']","[150, 16, 1, 1]"
94,3,"['reais', 'molar', 'labor']","['YXYXX', 'XYYYG', 'GGGGG']","[60, 1, 1]"
95,3,"['reais', 'snipe', 'islet']","['XYXYY', 'YXYXY', 'GGGGG']","[28, 1, 1]"
96,5,"['reais', 'tonic', 'pubic', 'mimic', 'civic']","['XXXGX', 'XXXGG', 'XXXGG', 'XGXGG', 'GGGGG']","[40, 4, 2, 1, 1]"
97,4,"['reais', 'outre', 'prone', 'forge']","['YYXXX', 'YXXYG', 'XYYXG', 'GGGGG']","[108, 16, 4, 4]"
98,3,"['reais', 'court', 'corny']","['YXXXX', 'GGXYX', 'GGGGG']","[103, 2, 2]"
99,4,"['reais', 'uncoy', 'ought', 'moult']","['XXXXX', 'YXXYX', 'YYXXG', 'GGGGG']","[168, 16, 3, 3]"
100,3,"['reais', 'basin', 'basic']","['XXYGY', 'GGGGX', 'GGGGG']","[4, 2, 2]"
101,4,"['reais', 'slaty', 'shoal', 'salad']","['XXYXY', 'GYYXX', 'GXXGY', 'GGGGG']","[37, 5, 1, 1]"
102,3,"['reais', 'aglet', 'agate']","['XYGXX', 'GGXYY', 'GGGGG']","[26, 1, 1]"
103,3,"['reais', 'tiyns', 'spicy']","['XXXYY', 'XYYXY', 'GGGGG']","[53, 3, 3]"
104,3,"['reais', 'stray', 'spray']","['YXYXY', 'GXGGG', 'GGGGG']","[15, 1, 1]"
105,4,"['reais', 'saute', 'askew', 'essay']","['XYYXY', 'YYXXY', 'YGXYX', 'GGGGG']","[28, 3, 1, 1]"
106,4,"['reais', 'court', 'hydro', 'fjord']","['YXXXX', 'XYXGX', 'XXYGY', 'GGGGG']","[103, 3, 1, 1]"
107,3,"['reais', 'stole', 'spend']","['XYXXY', 'GXXXY', 'GGGGG']","[67, 6, 6]"
108,4,"['reais', 'delta', 'began', 'kebab']","['XGYXX', 'XGXXY', 'YGXGX', 'GGGGG']","[19, 4, 1, 1]"
109,4,"['reais', 'linty', 'child', 'guild']","['XXXYX', 'YYXXX', 'XXGGG', 'GGGGG']","[118, 12, 2, 2]"
110,5,"['reais', 'clank', 'whack', 'quack', 'aback']","['XXGXX', 'YXGXG', 'XXGGG', 'XXGGG', 'GGGGG']","[33, 3, 2, 1, 1]"
111,4,"['reais', 'court', 'forth', 'motor']","['YXXXX', 'XGXYY', 'XGYYX', 'GGGGG']","[103, 5, 1, 1]"
112,3,"['reais', 'leant', 'alone']","['XYYXX', 'YYYGX', 'GGGGG']","[90, 1, 1]"
113,8,"['reais', 'tolan', 'yacht', 'watch', 'patch', 'batch', 'match', 'hatch']","['XXYXX', 'YXXYX', 'XGYYY', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[150, 14, 6, 5, 4, 3, 2, 2]"
114,4,"['reais', 'outre', 'cyber', 'hyper']","['YYXXX', 'XXXYY', 'XGXGG', 'GGGGG']","[108, 17, 1, 1]"
115,4,"['reais', 'uncoy', 'plumb', 'thumb']","['XXXXX', 'YXXXX', 'XXGGG', 'GGGGG']","[168, 7, 1, 1]"
