,steps,words,feedback,ncands
82,4,"['lores', 'anode', 'choke', 'biome']","['XYXYX', 'XXGXG', 'XXGXG', 'GGGGG']","[35, 4, 2, 2]"
83,3,"['lores', 'laden', 'lapel']","['GXXGX', 'GGXGX', 'GGGGG']","[8, 2, 2]"
84,4,"['lores', 'stair', 'stark', 'start']","['XXYXY', 'GGGXY', 'GGGGX', 'GGGGG']","[38, 2, 1, 1]"
85,4,"['lores', 'aider', 'preen', 'greet']","['XXYGX', 'XXXGY', 'XGGGX', 'GGGGG']","[93, 7, 2, 2]"
86,4,"['lores', 'mower', 'cover', 'goner']","['XGYGX', 'XGXGG', 'XGXGG', 'GGGGG']","[19, 10, 6, 6]"
87,3,"['lores', 'vowel', 'golem']","['YGXGX', 'XGXGY', 'GGGGG']","[10, 1, 1]"
88,2,"['lores', 'lusty']","['GXXXY', 'GGGGG']","[1, 1]"
89,4,"['lores', 'loamy', 'lofty', 'loopy']","['GGXXX', 'GGXXG', 'GGXXG', 'GGGGG']","[10, 4, 3, 3]"
90,2,"['lores', 'round']","['XGYXX', 'GGGGG']","[19, 19]"
91,3,"['lores', 'actin', 'audit']","['XXXXX', 'GXYGX', 'GGGGG']","[215, 3, 3]"
92,3,"['lores', 'lynch', 'lying']","['GXXXX', 'GGYXX', 'GGGGG']","[16, 1, 1]"
93,4,"['lores', 'actin', 'gaudy', 'gamma']","['XXXXX', 'YXXXX', 'GGXXX', 'GGGGG']","[215, 16, 1, 1]"
94,2,"['lores', 'labor']","['GYYXX', 'GGGGG']","[1, 1]"
95,2,"['lores', 'islet']","['YXXGY', 'GGGGG']","[7, 7]"
96,5,"['lores', 'actin', 'pubic', 'mimic', 'civic']","['XXXXX', 'XYXGX', 'XXXGG', 'XGXGG', 'GGGGG']","[215, 4, 2, 1, 1]"
97,2,"['lores', 'forge']","['XGGYX', 'GGGGG']","[6, 6]"
98,3,"['lores', 'forth', 'corny']","['XGGXX', 'XGGXX', 'GGGGG']","[17, 5, 5]"
99,3,"['lores', 'coaly', 'moult']","['YGXXX', 'XGXGX', 'GGGGG']","[27, 2, 2]"
100,3,"['lores', 'aitus', 'basic']","['XXXXY', 'YYXXY', 'GGGGG']","[122, 4, 4]"
101,4,"['lores', 'hails', 'palsy', 'salad']","['YXXXY', 'XGXYY', 'XGGYX', 'GGGGG']","[58, 6, 1, 1]"
102,6,"['lores', 'tinea', 'cheat', 'meaty', 'abate', 'agate']","['XXXYX', 'YXXYY', 'XXYYY', 'XYGGX', 'GXGGG', 'GGGGG']","[163, 13, 3, 2, 1, 1]"
103,4,"['lores', 'aitus', 'spiny', 'spicy']","['XXXXY', 'XYXXY', 'GGGXG', 'GGGGG']","[122, 10, 2, 2]"
104,3,"['lores', 'strap', 'spray']","['XXGXY', 'GXGGY', 'GGGGG']","[18, 1, 1]"
105,4,"['lores', 'nates', 'shape', 'essay']","['XXXYY', 'XYXYY', 'YXYXY', 'GGGGG']","[88, 19, 1, 1]"
106,4,"['lores', 'noria', 'crudo', 'fjord']","['XYYXX', 'XYYXX', 'XYXYY', 'GGGGG']","[78, 27, 1, 1]"
107,4,"['lores', 'nates', 'snide', 'spend']","['XXXYY', 'YXXYY', 'GYXYY', 'GGGGG']","[88, 12, 1, 1]"
108,5,"['lores', 'tinea', 'ached', 'vague', 'kebab']","['XXXYX', 'XXXYY', 'YXXYX', 'XYXXY', 'GGGGG']","[163, 27, 9, 1, 1]"
109,4,"['lores', 'inula', 'built', 'guild']","['YXXXX', 'YXYGX', 'XGGGX', 'GGGGG']","[130, 6, 2, 2]"
110,3,"['lores', 'actin', 'aback']","['XXXXX', 'GYXXX', 'GGGGG']","[215, 1, 1]"
111,4,"['lores', 'round', 'cobra', 'motor']","['XGYXX', 'YGXXX', 'XGXYX', 'GGGGG']","[19, 2, 1, 1]"
112,4,"['lores', 'below', 'clove', 'alone']","['YYXYX', 'XYYYX', 'XGGXG', 'GGGGG']","[16, 6, 2, 2]"
113,7,"['lores', 'actin', 'watch', 'patch', 'batch', 'match', 'hatch']","['XXXXX', 'YYGXX', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[215, 7, 5, 4, 3, 2, 2]"
114,5,"['lores', 'aider', 'tuber', 'fewer', 'hyper']","['XXYGX', 'XXXGG', 'XXXGG', 'XYXGG', 'GGGGG']","[93, 19, 8, 2, 2]"
115,3,"['lores', 'actin', 'thumb']","['XXXXX', 'XXYXX', 'GGGGG']","[215, 2, 2]"
116,3,"['lores', 'round', 'dowry']","['XGYXX', 'YGXXY', 'GGGGG']","[19, 1, 1]"
117,3,"['lores', 'gonia', 'ought']","['XYXXX', 'YYXXX', 'GGGGG']","[60, 2, 2]"
118,3,"['lores', 'telia', 'belch']","['YXXYX', 'XGGXX', 'GGGGG']","[101, 6, 6]"
119,3,"['lores', 'actin', 'dutch']","['XXXXX', 'XYGXX', 'GGGGG']","[215, 3, 3]"
120,3,"['lores', 'flota', 'pilot']","['YYXXX', 'XYYYX', 'GGGGG']","[39, 1, 1]"
121,3,"['lores', 'tenia', 'tweed']","['XXXGX', 'GYXXX', 'GGGGG']","[37, 2, 2]"
122,3,"['lores', 'money', 'comet']","['XGXGX', 'YGXGX', 'GGGGG']","[16, 2, 2]"
123,4,"['lores', 'actin', 'gaunt', 'jaunt']","['XXXXX', 'YXYXY', 'XGGGG', 'GGGGG']","[215, 11, 5, 5]"
124,4,"['lores', 'tinea', 'hyena', 'enema']","['XXXYX', 'XXYYG', 'XXGYG', 'GGGGG']","[163, 2, 1, 1]"
125,3,"['lores', 'upset', 'steed']","['XXXGY', 'XXYGY', 'GGGGG']","[20, 1, 1]"
126,3,"['lores', 'minus', 'abyss']","['XXXXG', 'XXXXG', 'GGGGG']","[8, 1, 1]"
127,3,"['lores', 'flora', 'growl']","['YYYXX', 'XYGYX', 'GGGGG']","[11, 6, 6]"
128,3,"['lores', 'inula', 'fling']","['YXXXX', 'YYXYX', 'GGGGG']","[130, 8, 8]"
