,steps,words,feedback,ncands
122,3,"['tares', 'motel', 'comet']","['YXXGX', 'YGYGX', 'GGGGG']","[14, 1, 1]"
123,3,"['tares', 'chant', 'jaunt']","['YGXXX', 'XXYGG', 'GGGGG']","[32, 6, 6]"
124,4,"['tares', 'naled', 'anime', 'enema']","['XYXYX', 'YYXYX', 'YGXGY', 'GGGGG']","[81, 9, 1, 1]"
125,3,"['tares', 'islet', 'steed']","['YXXGY', 'XYXGY', 'GGGGG']","[11, 2, 2]"
126,3,"['tares', 'class', 'abyss']","['XYXXG', 'XXYGG', 'GGGGG']","[6, 2, 2]"
127,4,"['tares', 'nidor', 'group', 'growl']","['XXYXX', 'XXXYY', 'GGGXX', 'GGGGG']","[93, 11, 1, 1]"
128,4,"['tares', 'noily', 'cling', 'fling']","['XXXXX', 'YXGYX', 'XGGGG', 'GGGGG']","[227, 5, 1, 1]"
129,3,"['tares', 'loden', 'dozen']","['XXXGX', 'XGYGG', 'GGGGG']","[56, 1, 1]"
130,5,"['tares', 'noily', 'howdy', 'foggy', 'boozy']","['XXXXX', 'XGXXG', 'XGXXG', 'XGXXG', 'GGGGG']","[227, 15, 7, 4, 4]"
131,4,"['tares', 'dicer', 'prude', 'erode']","['XXYYX', 'YXXYY', 'XGXGG', 'GGGGG']","[57, 3, 1, 1]"
132,3,"['tares', 'loury', 'world']","['XXGXX', 'YGXYX', 'GGGGG']","[27, 1, 1]"
133,4,"['tares', 'eloin', 'vogue', 'gouge']","['XXXYX', 'YXYXX', 'XGYYG', 'GGGGG']","[147, 6, 1, 1]"
134,4,"['tares', 'noily', 'flick', 'click']","['XXXXX', 'XXGYX', 'XGGGG', 'GGGGG']","[227, 5, 1, 1]"
135,4,"['tares', 'radon', 'cigar', 'briar']","['XYYXX', 'YYXXX', 'XYXGG', 'GGGGG']","[70, 22, 2, 2]"
136,3,"['tares', 'react', 'great']","['YYYYX', 'YYYXG', 'GGGGG']","[9, 3, 3]"
137,4,"['tares', 'craft', 'ultra', 'altar']","['YYYXX', 'XYYXY', 'XGGYY', 'GGGGG']","[12, 2, 1, 1]"
138,4,"['tares', 'noily', 'lucky', 'pulpy']","['XXXXX', 'XXXYG', 'YGXXG', 'GGGGG']","[227, 4, 1, 1]"
139,3,"['tares', 'intro', 'blurt']","['YXYXX', 'XXYGX', 'GGGGG']","[21, 1, 1]"
140,3,"['tares', 'slant', 'coast']","['YYXXY', 'YXGXG', 'GGGGG']","[23, 2, 2]"
141,4,"['tares', 'noily', 'dumpy', 'duchy']","['XXXXX', 'XXXXG', 'GGXXG', 'GGGGG']","[227, 16, 1, 1]"
142,3,"['tares', 'nidor', 'groin']","['XXYXX', 'YYXYY', 'GGGGG']","[93, 4, 4]"
143,4,"['tares', 'idler', 'finer', 'fixer']","['XXYGX', 'YXXGG', 'GGXGG', 'GGGGG']","[96, 11, 2, 2]"
144,3,"['tares', 'nidor', 'group']","['XXYXX', 'XXXYY', 'GGGGG']","[93, 11, 11]"
145,4,"['tares', 'dicer', 'grope', 'rogue']","['XXYYX', 'XXXYY', 'YYYXG', 'GGGGG']","[57, 19, 2, 2]"
146,4,"['tares', 'manly', 'daily', 'badly']","['XGXXX', 'XGXGG', 'YGXGG', 'GGGGG']","[66, 5, 1, 1]"
147,2,"['tares', 'smart']","['YYYXY', 'GGGGG']","[6, 6]"
148,3,"['tares', 'litho', 'pithy']","['YXXXX', 'XGGGX', 'GGGGG']","[78, 1, 1]"
149,4,"['tares', 'manly', 'bawdy', 'gaudy']","['XGXXX', 'XGXXG', 'XGXGG', 'GGGGG']","[66, 11, 4, 4]"
150,4,"['tares', 'noily', 'child', 'chill']","['XXXXX', 'XXGGX', 'GGGGX', 'GGGGG']","[227, 6, 2, 2]"
151,3,"['tares', 'onery', 'heron']","['XXGYX', 'YYYYX', 'GGGGG']","[26, 2, 2]"
152,4,"['tares', 'aloin', 'mocha', 'vodka']","['XYXXX', 'YXYXX', 'XGXXG', 'GGGGG']","[98, 7, 1, 1]"
153,3,"['tares', 'idler', 'finer']","['XXYGX', 'YXXGG', 'GGGGG']","[96, 11, 11]"
154,4,"['tares', 'screw', 'siren', 'surer']","['XXGGY', 'GXGGX', 'GXGGX', 'GGGGG']","[6, 3, 2, 2]"
155,3,"['tares', 'aroid', 'radio']","['XGYXX', 'YYYGY', 'GGGGG']","[27, 1, 1]"
156,5,"['tares', 'dicer', 'grope', 'rogue', 'rouge']","['XXYYX', 'XXXYY', 'YYYXG', 'GGYYG', 'GGGGG']","[57, 19, 2, 1, 1]"
157,4,"['tares', 'onery', 'purge', 'perch']","['XXGYX', 'XXYYX', 'GXGXY', 'GGGGG']","[26, 9, 2, 2]"
158,4,"['tares', 'route', 'remit', 'retch']","['YXYYX', 'GXXYY', 'GGXXY', 'GGGGG']","[19, 4, 2, 2]"
159,3,"['tares', 'route', 'wrote']","['YXYYX', 'YYXGG', 'GGGGG']","[19, 1, 1]"
160,5,"['tares', 'noily', 'block', 'flock', 'clock']","['XXXXX', 'XYXYX', 'XGGGG', 'XGGGG', 'GGGGG']","[227, 9, 2, 1, 1]"
161,2,"['tares', 'tilde']","['GXXYX', 'GGGGG']","[14, 14]"
162,2,"['tares', 'store']","['YXYYY', 'GGGGG']","[4, 4]"
163,4,"['tares', 'dicer', 'grope', 'prove']","['XXYYX', 'XXXYY', 'XGGYG', 'GGGGG']","[57, 19, 3, 3]"
164,3,"['tares', 'nidor', 'bring']","['XXYXX', 'YYXXY', 'GGGGG']","[93, 4, 4]"
165,3,"['tares', 'solei', 'solve']","['XXXYY', 'GGGYX', 'GGGGG']","[61, 1, 1]"
166,3,"['tares', 'lacet', 'cheat']","['YYXYX', 'XYYYG', 'GGGGG']","[30, 3, 3]"
167,4,"['tares', 'dicer', 'gripe', 'grime']","['XXYYX', 'XYXYY', 'GGGXG', 'GGGGG']","[57, 8, 1, 1]"
168,3,"['tares', 'utile', 'exult']","['YXXYX', 'YYXGY', 'GGGGG']","[41, 1, 1]"
169,3,"['tares', 'wiser', 'usher']","['XXYGY', 'XXYGG', 'GGGGG']","[15, 6, 6]"
170,3,"['tares', 'eloin', 'epoch']","['XXXYX', 'GXGXX', 'GGGGG']","[147, 3, 3]"
171,3,"['tares', 'trial', 'triad']","['GYYXX', 'GGGGX', 'GGGGG']","[10, 1, 1]"
172,3,"['tares', 'bread', 'break']","['XYYYX', 'GGGGX', 'GGGGG']","[54, 1, 1]"
173,4,"['tares', 'nidor', 'groin', 'rhino']","['XXYXX', 'YYXYY', 'XYYYY', 'GGGGG']","[93, 4, 1, 1]"
174,4,"['tares', 'coral', 'mural', 'viral']","['XYGXX', 'XXGGG', 'XXGGG', 'GGGGG']","[12, 3, 1, 1]"
175,3,"['tares', 'noily', 'conic']","['XXXXX', 'YGYXX', 'GGGGG']","[227, 2, 2]"
176,4,"['tares', 'pause', 'false', 'masse']","['XGXYY', 'XGXGG', 'XGXGG', 'GGGGG']","[7, 2, 1, 1]"
